variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s2q17_7,2.17.7 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,2,,,,
s2q18,2.18 Where did you store you crop produces?,int8,"1=Own storage, 2=Public storage, 3=Cooperatives/private companies Storage, 4=Cold rooms",4,0,6465,,,,
s2q19,2.19 Any member of your HH used improved seeds during 2019/2020 agric. year?,int8,"1=Yes, 2=No",2,0,10297,,,,
crops_improved,Crops (in numbers) on which improved seeds have been used,int8,,0,0,10666,,,,
s2q20_1,2.20.1 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,4543,,,,
s2q20_2,2.20.2 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,480,,,,
s2q20_3,2.20.3 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,52,,,,
s2q20_4,2.20.4 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,5,,,,
hh_members,HH members (in numbers) who used improved seeds,int8,,0,0,10666,,,,
s2q21_1,2.21.1 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,4276,,,,
s2q21_2,2.21.2 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2663,,,,
s2q21_3,2.21.3 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,202,,,,
s2q21_4,2.21.4 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,57,,,,
s2q21_5,2.21.5 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,14,,,,
s2q21_6,2.21.6 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,3,,,,
s2q22,2.22 Any member of your HH used organic fertilizers in 2019/2020 agric. year,int8,"1=Yes, 2=No",2,0,10297,,,,
s2q23,2.23 Any member of your HH used inorganic fertilizers in 2019/2020 agric. year,int8,"1=Yes, 2=No",2,0,10297,,,,
hh_members2,HH members (in numbers) who used inorganic fertilizers,int8,,0,0,10666,,,,
s2q24_1,2.24.1 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,4276,,,,
s2q24_2,2.24.2 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2663,,,,
s2q24_3,2.24.3 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,202,,,,
s2q24_4,2.24.4 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,57,,,,
s2q24_5,2.24.5 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,14,,,,
s2q24_6,2.24.6 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,3,,,,
s2q25,2.25 Main Source of inorganic fertilizers,int8,"1=Government (MINAGRI/RAB/DISTRICT), 2=Agro-dealers, 3=NGOs, 4=Market, 5=Agriculture cooperative …",6,0,3936,,,,
s2q26,2.26 Any member of your HH used pesticides during 2019/2020 agricultural year?,int8,"1=Yes, 2=No",2,0,10297,,,,
s2q27,2.27 Does any member of your household has land protected against erosion?,int8,"1=Yes, 2=No",2,0,10311,,,,
measures_n,Soil protection measures (in numbers) your household used,int8,,0,0,10666,,,,
s2q28_1,2.28.1 Which soil protection measures has your household used?,int8,"1=Radical terraces, 2=Progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind-break /Shelterbelt, 5=Cover plants/grasses …",9,0,8422,,,,
s2q28_2,2.28.2 Which soil protection measures has your household used?,int8,"1=Radical terraces, 2=Progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind-break /Shelterbelt, 5=Cover plants/grasses …",9,0,4359,,,,
s2q28_3,2.28.3 Which soil protection measures has your household used?,int8,"1=Radical terraces, 2=Progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind-break /Shelterbelt, 5=Cover plants/grasses …",9,0,1095,,,,
s2q29,2.29 Are there any agroforestry trees in the household plots?,int8,"1=Yes, 2=No",2,0,10311,,,,
s2q30,2.30 Any HH member practice irrigation at least in 1 of the plots in 2017 agric.,int8,"1=Yes, 2=No",2,0,10311,,,,
s2q31,2.31 What is the main irrigation technique have you used on this plot?,int8,"1=Traditional irrigation, 2=Surface irrigation, 3=Flood irrigation (especially for rice), 4=Drip irrigation, 5=Sprinkler irrigation …",6,0,1538,,,,
s2q32,2.32 What was the irrigation tool used?,int8,"1=Water cane /basin / bucket, 2=Water channels, 3=Tube wells, 4=SSIT tools (pumps, pivot?), 5=Irrigation machine …",7,0,1538,,,,
s2q33,2.33 Source of water used for irrigation,int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water(dam) …",6,0,1538,,,,
