variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s5q2_12,5.2.12 Price of inorganic fertilizer_Type 1(RWF/Kg),int16,,0,2543,0,,,,
s5q2_13,5.2.13 Source of the used inorganic fertilizer-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2604,0,,,,
s5q2_14,5.2.14 What was the type of inorganic fertilizer used? Type 3,int8,"0=Not Applicable, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,2605,0,,,,
s5q2_15,5.2.15 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,296,0,,,,
s5q2_16,5.2.16 Quantity of used fertilizer_Type 3,double,,0,296,0,,,,
s5q2_17,5.2.17 Quantity of purchased fertilizer_Type 3,double,,0,296,0,,,,
s5q2_18,5.2.18 Price of inorganic fertilizer_Type 3(RWF/Kg),int16,,0,287,0,,,,
s5q2_19,5.2.19 Source of the used inorganic fertilizer-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,296,0,,,,
s5q2_20,5.2.20 Did any member of your household use inorganic fertilizer at least in one,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q2_21,5.2.21 What was the type of inorganic fertilizer used? Type 1,int8,"1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea, 5= liquid urea …",9,3360,0,,,,
s5q2_22,5.2.22 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,3360,0,,,,
s5q2_23,5.2.23 Quantity of used fertilizer_Type 1,double,,0,3360,0,,,,
s5q2_24,5.2.24 Quantity of purchased fertilizer_Type 1,double,,0,3360,0,,,,
s5q2_25,5.2.25 Price of inorganic fertilizer_Type 1(RWF/Kg),int16,,0,3272,0,,,,
s5q2_26,5.2.26 Source of the used inorganic fertilizer-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,3360,0,,,,
s5q2_27,5.2.27 What was the type of inorganic fertilizer used? Type 2,int8,"0=NA, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,3360,0,,,,
s5q2_28,5.2.28 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,1489,0,,,,
s5q2_29,5.2.29 Quantity of used fertilizer_Type 2,double,,0,1488,0,,,,
s5q2_30,5.2.30 Quantity of purchased fertilizer_Type 2,double,,0,1488,0,,,,
s5q2_31,5.2.31 Price of inorganic fertilizer_Type 2(RWF/Kg),double,,0,1460,0,,,,
s5q2_32,5.2.32 Source of the used inorganic fertilizer-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,1488,0,,,,
s5q2_33,5.2.33 What was the type of inorganic fertilizer used? Type 3,int8,"0=NA, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,1488,0,,,,
s5q2_34,5.2.34 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,160,0,,,,
s5q2_35,5.2.35 Quantity of used fertilizer_Type 3,double,,0,160,0,,,,
s5q2_36,5.2.36 Quantity of purchased fertilizer_Type 3,double,,0,160,0,,,,
s5q2_37,5.2.37 Price of inorganic fertilizer_Type 3(RWF/Kg),int16,,0,160,0,,,,
s5q2_38,5.2.38 Source of the used inorganic fertilizer-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,160,0,,,,
s5q3_1,5.3.1 Did any member of your household applied pesticide at least in one of the,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q3_2,5.3.2 Pesticide used_Type 1,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin, 5=Dursiban …",9,2579,0,,,,
s5q3_3,5.3.3 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,2579,0,,,,
s5q3_4,5.3.4 Used Quantity of  Pesticide used_Type 1,double,,0,2579,0,,,,
s5q3_5,5.3.5 Purchased Quantity(Kg),double,,0,2579,0,,,,
s5q3_6,5.3.6 Price of purchased Pesticide_Type 1(RWF/Kg),int32,,0,2391,0,,,,
s5q3_7,5.3.7 Source of pesticide used-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2579,0,,,,
s5q3_8,5.3.8 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,2579,0,,,,
