scope,wave,native,clean_name,clean_label,native_label
pooled:AHS_pooled_person.dta,2024,s4bq21,ahs_use_internet_seeking_health,"AHS 2024: Use of the internet for seeking health information, last three months",Use of the internet in the last three months for seeking health information
pooled:AHS_pooled_person.dta,2024,s4bq22,ahs_use_internet_social_media,AHS 2024: Use of internet on social media in the last 3 months,Use of internet on social media in the last 3 months
pooled:AHS_pooled_person.dta,2024,s4bq23,ahs_able_apply_digital_skills,AHS 2024: Able to apply any of the following digital skills,able to apply any of the following digital skills
pooled:AHS_pooled_person.dta,2024,s4bq23a,ahs_use_ussd_access_svc_info,AHS 2024: Use only USSD code to access E-services or information,Use only USSD code  to access E-services or information
pooled:AHS_pooled_person.dta,2024,s4bq23b,ahs_use_application_based_system,AHS 2024: Use application based system to access E-services or information,Use application based system  to access E-services or information
pooled:AHS_pooled_person.dta,2024,s4bq23c,ahs_use_mobile_financial_svc,AHS 2024: Use mobile financial services(MOMO/AIRTEL MONEY/MOCASH/PUSH AND PULL),Use mobile financial services(MOMO/AIRTEL MONEY/MOCASH/PUSH AND PULL)
pooled:AHS_pooled_person.dta,2024,s4bq23d,ahs_use_social_media_whatsapp,AHS 2024: Use any social media (whatsapp or facebook,"Use any social media (whatsapp or facebook, or instagram or youtube or twitter"
pooled:AHS_pooled_person.dta,2024,s4bq23e,ahs_access_info_through_web,AHS 2024: Access information through web browser,Access information through web browser
pooled:AHS_pooled_person.dta,2024,s4bq23f,ahs_access_irembo_services,AHS 2024: Access IREMBO services,Access IREMBO services
pooled:AHS_pooled_person.dta,2024,s4bq23g,ahs_use_commerce_plaforms,AHS 2024: Use any E-commerce plaforms,Use any E-commerce plaforms
pooled:AHS_pooled_person.dta,2024,s4bq23h,ahs_access_learning_platforms,AHS 2024: Access E-learning platforms,Access E-learning platforms
pooled:AHS_pooled_person.dta,2024,s4bq25,ahs_use_internet,AHS 2024: Use the internet from in the last 3 months,Use the internet from  in the last 3 months
pooled:AHS_pooled_person.dta,2024,s4bq26,ahs_device_used_accessing_social,AHS 2024: Type of device used in accessing social media in the last three months,Type of device used in accessing social media in the last three months
pooled:AHS_pooled_person.dta,2024,s4bq3,ahs_attended_literacy_course,AHS 2024: Have you attended a literacy course?,Have you attended a literacy course?
pooled:AHS_pooled_person.dta,2024,s4bq4,ahs_able_read_simple_note,AHS 2024: Able to read a simple note,Able to read a simple note
pooled:AHS_pooled_person.dta,2024,s4bq5,ahs_read_proposed_sentence,AHS 2024: Can read proposed a sentence,Can read proposed a sentence
pooled:AHS_pooled_person.dta,2024,s4bq6,ahs_able_simple_note,AHS 2024: Able to write a simple note,Able to write a simple note
pooled:AHS_pooled_person.dta,2024,s4bq7,ahs_able_written_calculation,AHS 2024: Able to do a written calculation,Able to do a written calculation
pooled:AHS_pooled_person.dta,2024,s4bq8,ahs_mobile_telephone,AHS 2024: Have a mobile telephone,Have a mobile telephone
pooled:AHS_pooled_person.dta,2024,s4bq9,ahs_phone_functionalities_owned,AHS 2024: Phone functionalities. Owned by,Phone functionalities. Owned by ...
pooled:AHS_pooled_person.dta,2024,s6aq10,ahs_main_reason_not_working,AHS 2024: Main reason not working over the last 7 days,Main reason not working over the last 7 days
pooled:AHS_pooled_person.dta,2024,s6aq11,ahs_receiving_income_economic,AHS 2024: Receiving an income from their economic activity during absence?,Receiving an income from his/her economic activity during absence?
pooled:AHS_pooled_person.dta,2024,s6aq12,ahs_work_period_less_months,AHS 2024: To work for a period less than 3 months?,to work for a period less than 3 months?
pooled:AHS_pooled_person.dta,2024,s6aq2,ahs_worked_own_farm_payment,AHS 2024: Worked on own farm no payment,Worked on own farm no payment
pooled:AHS_pooled_person.dta,2024,s6aq3,ahs_products_obtained_agri_activ,AHS 2024: Products obtained from this agricultural activity for,products obtained from this agricultural  activity for
pooled:AHS_pooled_person.dta,2024,s6aq4,ahs_carry_agricultural_activity,AHS 2024: Carry out any agricultural activity,Carry out any agricultural activity
pooled:AHS_pooled_person.dta,2024,s6aq5,ahs_worked_salary_wages_non_farm,AHS 2024: Worked for salary or wages in non-farm sector,Worked for salary or wages in non-farm sector
pooled:AHS_pooled_person.dta,2024,s6aq6,ahs_run_non_farm_biz_cash_profit,AHS 2024: Run a non-farm business for cash or profit,Run a non-farm business for cash or profit
pooled:AHS_pooled_person.dta,2024,s6aq7,ahs_worked_non_fam_business,AHS 2024: Worked in a non-fam business,Worked in a non-fam business
pooled:AHS_pooled_person.dta,2024,s6aq8,ahs_work_unpaid_trainee_wkr,AHS 2024: Work as an unpaid trainee worker or as a volunteer worker in any,work as an unpaid trainee worker or as a volunteer worker in any economic activi
pooled:AHS_pooled_person.dta,2024,s6aq9,ahs_economic_activ_job_biz_agri,AHS 2024: Any economic activity from which the person was tempo,"any economic activity (job, business or agriculture) from which he/she was tempo"
pooled:AHS_pooled_person.dta,2024,s6bq1,ahs_hours_work_week,AHS 2024: Hours usually work in the all economic activities over a week,Hours usually work in the all economic activities over a week
pooled:AHS_pooled_person.dta,2024,s6bq2,ahs_hours_work_economic_2024,AHS 2024: Hours actually work in all economic activities last 7 days,Hours  actually work in all economic activities last 7 days
pooled:AHS_pooled_person.dta,2024,s6bq3a,ahs_isco_description_table,AHS 2024: ISCO code description from table,ISCO code description from table
pooled:AHS_pooled_person.dta,2024,s6bq5,ahs_institutional_sector,AHS 2024: 's institutional sector of the main economic activity,What is [NAME]?s institutional sector of the main economic activity?
pooled:AHS_pooled_person.dta,2024,s6bq6,ahs_perform_economic_activ,AHS 2024: Perform this main economic activity overnight from 6pm to 6 am?,perform this main economic activity overnight from 6pm to 6 am?
pooled:AHS_pooled_person.dta,2024,s6bq7,ahs_status_economic_activity,AHS 2024: What is the person's status in economic activity,What is [NAME]?s status in economic activity
pooled:AHS_pooled_person.dta,2024,s6bq8,ahs_nature_economic_activ,AHS 2024: Nature of ??'s? economic activity contract?,nature of ???s? economic activity contract?
pooled:AHS_pooled_person.dta,2024,s6bq9a,ahs_earn_main_job_amount,AHS 2024: Usually earn in this main job (Amount),usually earn in this main job (Amount)
pooled:AHS_pooled_person.dta,2024,s6bq9b,ahs_earn_main_job_unit,AHS 2024: Usually earn in this main job (Unit),usually earn in this main job (Unit)
pooled:AHS_pooled_person.dta,2024,s6cq10,ahs_hours_cooking,AHS 2024: How many hours did spend cooking over the last 7 days?,How many hours did spend cooking over the last 7 days?
pooled:AHS_pooled_person.dta,2024,s6cq11,ahs_time_household_chores_laund,AHS 2024: Did spend any time on other household chores such as laund,"Over the last 7 days, did spend any time on other household chores such as laund"
pooled:AHS_pooled_person.dta,2024,s6cq12,ahs_hours_other_household_chores,"AHS 2024: How many hours did spend on other household chores, last 7 days",How many hours did spend on other household chores over the last 7 days?
pooled:AHS_pooled_person.dta,2024,s6cq2,ahs_number_hours_fetching_water,AHS 2024: Number of hours spend fetching water over the last 7 days,Number of hours spend fetching water over the last 7 days
pooled:AHS_pooled_person.dta,2024,s6cq3,ahs_forage_firewood_household,"AHS 2024: Over the last 7 days, forage for firewood for the household","Over the last 7 days,   forage for firewood for the household"
pooled:AHS_pooled_person.dta,2024,s6cq4,ahs_hours_foraging_wood,AHS 2024: How many hours spend foraging for wood over the last 7 days,How many hours    spend foraging for wood over the last 7 days
