variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
ur2012_s10a1_credits,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
region_s10a1_credits,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,,0,0,0,14419,14580,0,EICV4_CS: module s10a1_credits; EICV5_CS: module s10a1_credits,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s10aq1_v2,[EICV4_CS..EICV4_CS version] Requested and failed to get a loan in last 12 month,int8,"1=Yes, 2=No, 9=Missing",3,"household (credit, durables, savings)",0,0,0,14419,0,0,,s10aq1 (EICV5_CS),,
s10aq2,Reason why loan was denied,int8,"1=Insuffivient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons …",6,"household (credit, durables, savings)",0,0,0,590,565,0,EICV4_CS: module s10a1_credits; EICV5_CS: module s10a1_credits,,,"{""1"": [""Insufficient income"", ""Insuffivient income""]}"
s10aq3_v2,[EICV4_CS..EICV4_CS version] HH member owe money over previous 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household (credit, durables, savings)",0,0,0,14419,0,0,,s10aq3 (EICV5_CS),,
hhtype_s10a1_credits,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
rwanda_s10a1_credits,All Rwanda,int8,1=All Rwanda,1,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
surveyh_s10a1_credits,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
quintile_s10a1_credits,QUINTILE,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
poverty_s10a1_credits_v2,[EICV4_CS..EICV4_CS version] POVERTY,int8,,0,,0,0,0,14419,0,0,,poverty_s10a1_credits (EICV5_CS),,
s0q19m_s10a1_credits,Month of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
s0q19y_s10a1_credits,Year of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s10a1_credits,,,
ur2012_s7a2_livestock,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
region_s7a2_livestock,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,,0,0,0,14419,8963,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7a2q1,Household ever received animal from Govt one-cow policy,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,9494,8963,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,s7a2q1_v2 (EICV7_CS),EICV4_CS: Received a cow from government policy,
s7a2q2,In what year did you receive this animal?,int16,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,871,1049,1758,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock; EICV7_CS: module s01_s5_s7_household,,EICV4_CS: Still keep this animal; EICV5_CS: Animal still with household,
s7a2q3,Household ever receiced animal from NGO or social protection,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,9494,8963,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,s7a2q3_v2 (EICV7_CS),EICV4_CS: Received animal from NGO or social protection,
s7a2q4a,Kind of animal 1st,int8,"1=Cattle, 2=Sheep, 3=Goat, 4=Poultry, 5=Pig …",8,"household / farm (agriculture, livestock)",0,0,0,1299,1263,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,,
s7a2q4b,Kind of animal 2nd,int8,"0=None, 1=Cattle, 2=Sheep, 3=Goat, 4=Poultry …",9,"household / farm (agriculture, livestock)",0,0,0,1299,1263,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,,
s7a2q5,Has the number of animals changed,int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same, 4=Not applicable, 9=Missing",5,"household / farm (agriculture, livestock)",0,0,0,9494,2192,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,EICV4_CS: Change in number of animals,
s7a2q6,Household uses a maintained pasture,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,9494,8963,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,EICV4_CS: Use a maintained pasture,
s7a2q7,Owner of pasture,int8,"1=Household ownership, 2=Other person/priate company, 3=State owned, 4=District land, 9=Missing",5,"household / farm (agriculture, livestock)",0,0,0,146,148,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,s7a2q7_v2 (EICV7_CS),,"{""2"": [""Other person/priate company"", ""Other person/private company""]}"
s7a2q8,Cost of using the pasture,int32,"0=Not applicable, 999999999=Missing",2,"household / farm (agriculture, livestock)",0,0,0,146,148,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,EICV4_CS: Cost of using the pasture over last 12 months,
s7a2q9,Number of months in the past 12 in which pasture was utilized,int8,99=Missing,1,"household / farm (agriculture, livestock)",0,0,0,146,148,0,EICV4_CS: module s7a2_livestock; EICV5_CS: module s7a2_livestock,,EICV4_CS: Number of months pasture was used,
hhtype_s7a2_livestock,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
rwanda_s7a2_livestock,All Rwanda,int8,1=All Rwanda,1,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
surveyh_s7a2_livestock,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
quintile_s7a2_livestock,QUINTILE,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
poverty_s7a2_livestock_v2,[EICV4_CS..EICV4_CS version] POVERTY,int8,,0,,0,0,0,14419,0,0,,poverty_s7a2_livestock (EICV5_CS),,
s0q19m_s7a2_livestock,Month of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
s0q19y_s7a2_livestock,Year of interview,int8,,0,,0,0,0,14419,0,0,EICV4_CS: module s7a2_livestock,,,
ur2012_s7b1_land_agriculture,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,,0,0,0,14419,0,0,EICV4_CS: module s7b1_land_agriculture,,,
