variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s9c5q46e,"Construction of markets, crop drying structures and crop barns",int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,398,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46f,Others _Specify_,int8,"1=Yes, 2=No",2,"household (transfers, VUP, other income)",0,0,0,0,397,0,EICV5_CS: module s9c_vup_ubudehe_and_rssp_schemes,,,
s5aq4y,Duration household inhabited dwelling (years),int8,,0,"household (housing, shocks, services)",0,0,0,0,0,15054,EICV7_CS: module s01_s5_s7_household,,,
s5aq4m,Duration household inhabited dwelling (months),int8,,0,"household (housing, shocks, services)",0,0,0,0,0,15054,EICV7_CS: module s01_s5_s7_household,,,
s5aq5_v2,[EICV7_CS..EICV7_CS version] Household lived in other dwellings before occupying,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5aq5 (EICV4_CS, EICV5_CS), s5aq5_v3 (EICV3), s5aq5_v4 (EICV2)",,
s5aq6_v2,[EICV7_CS..EICV7_CS version] Main reason for moving to current dwelling,int8,"1=Resettlement- policy, 2=Evacuated-disaster, 3=Get a better house, 4=Build/buy own house, 5=Renting cost …",10,"household (housing, shocks, services)",0,0,0,0,0,10772,,"s5aq6 (EICV4_CS, EICV5_CS), s5aq6_v3 (EICV3)",,
s5aq7,Owner of the dwelling,int8,"1=Head, 2=Spouse, 3=Spouse with head, 4=Other household member, 5=Relative …",9,"household (housing, shocks, services)",0,0,0,0,0,15054,EICV7_CS: module s01_s5_s7_household,s5aq7_v2 (EICV2),,
s5aq8_v2,[EICV7_CS..EICV7_CS version] Current occupancy status,int8,"1=Owner occupied, 2=Tenancy (renting), 3=Dwelling provided by employer, 4=Dwelling provided free of charge, 5=Temporary  settlement …",6,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5aq8 (EICV3, EICV4_CS), s5aq8_v3 (EICV5_CS), s5aq8_v4 (EICV2)",,
s5bq1_v2,[EICV7_CS..EICV7_CS version] The current value of your dwelling if you were to s,int32,,0,"household (housing, shocks, services)",0,0,0,0,0,11150,,"s5bq1 (EICV4_CS, EICV5_CS), s5bq1_v3 (EICV3), s5bq1_v4 (EICV2)",,
s5bq2a,Estimated rent for dwelling,int32,,0,"household (housing, shocks, services)",0,0,0,0,0,12103,EICV7_CS: module s01_s5_s7_household,s5bq2a_v2 (EICV3),,
s5bq3a_v2,[EICV7_CS..EICV7_CS version] Actual amount of rent paid in cash,int32,,0,"household (housing, shocks, services)",0,0,0,0,0,2951,,"s5bq3a (EICV3, EICV4_CS, EICV5_CS)",,
s5bq4,Household provide service/payments in kind,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,2951,EICV7_CS: module s01_s5_s7_household,,,
s5bq5a,Amount of services/payment in kind,int32,,0,"household (housing, shocks, services)",0,0,0,0,0,146,EICV7_CS: module s01_s5_s7_household,,,
s5bq5b,Time period,int8,"1=Month, 2=Quarterly, 3=Annually",3,"household (housing, shocks, services)",0,0,0,0,0,146,EICV7_CS: module s01_s5_s7_household,,,
s5bq6,Do you own a residential house in this village or elsewhere?,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,3904,EICV7_CS: module s01_s5_s7_household,s5bq6_v2 (EICV2),,
s5bq7_v2,[EICV7_CS..EICV7_CS version] In which year did you acquire that house?,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,11566,,"s5bq7 (EICV3, EICV4_CS, EICV5_CS), s5bq7_v3 (EICV2)",,
s5bq8_v2,[EICV7_CS..EICV7_CS version] What was the value of that house when you acquired,int32,,0,"household (housing, shocks, services)",0,0,0,0,0,11566,,"s5bq8 (EICV3, EICV4_CS, EICV5_CS)",,
s5bq9,How did you acquire that house?,int8,"1=Bought, 2=Constructed, 3=Inherited from parents, 4=Received as gift, 5=Bartered …",6,"household (housing, shocks, services)",0,0,0,0,0,11566,EICV7_CS: module s01_s5_s7_household,"s5bq9_v2 (EICV3), s5bq9_v3 (EICV2)",,
s5cq2a,Distance in meters between your dwelling and this source?,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,12768,EICV7_CS: module s01_s5_s7_household,s5cq2a_v2 (EICV2),,
s5cq2b,"Time in minutes it take to go there, to get water and come back?",int16,,0,"household (housing, shocks, services)",0,0,0,0,0,12768,EICV7_CS: module s01_s5_s7_household,s5cq2b_v2 (EICV2),,
s5cq4b,"Time in minutes it take to go there, to get water and come back",int16,,0,"household (housing, shocks, services)",0,0,0,0,0,12731,EICV7_CS: module s01_s5_s7_household,s5cq4b_v2 (EICV3),,
s5cq6a,Unused nearest drinking water source to your dwelling?,int8,"1=Piped into Dwelling, 2=Piped into compound, yard/pot, 3=Piped to neighbor HH3, 4=Public tap/standpipe, 5=Tube Well/Borehole …",14,"household (housing, shocks, services)",0,0,0,0,0,2821,EICV7_CS: module s01_s5_s7_household,,,
s5cq6b,Distance in meters between your dwelling and unused nearest drinking water sourc,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,2819,EICV7_CS: module s01_s5_s7_household,,,
s5cq8_v2,[EICV7_CS..EICV7_CS version] In the last 4 weeks has there been anytime when you,int8,"1=Yes, at least once, 2=No, always sufficient, 3=Don?t know",3,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq8 (EICV4_CS, EICV5_CS), s5cq8_v3 (EICV3), s5cq8_v4 (EICV2)",,
s5cq12_v2,[EICV7_CS..EICV7_CS version] Amount contribute to maintain the water source duri,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq12 (EICV4_CS, EICV5_CS), s5cq12_v3 (EICV3)",,
s5cq13_v2,[EICV7_CS..EICV7_CS version] Household manage the rainwater,int8,"1=No measures, 2=Rainwater tank from roof, 3=Ditch, 4=Piped away, 5=Other(specify)",5,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq13 (EICV4_CS, EICV5_CS), s5cq13_v3 (EICV3)",,
s5cq14_v2,[EICV7_CS..EICV7_CS version] Is this HH connected to the grid (electricity from,int8,"1=Yes on grid, 2=Yes from solar, 3=Yes both on grid  and from solar, 4=No",4,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq14 (EICV4_CS, EICV5_CS), s5cq14_v3 (EICV3)",,
s5cq15_v2,[EICV7_CS..EICV7_CS version] Main Reason your household is not connected to the,int8,"1=Connection fee is high, 2=Dwelling inappropriate for connection, 3=Application pending, 4=Service  unavailable(No grid line in the area), 5=Administrative procedure is complicated …",7,"household (housing, shocks, services)",0,0,0,0,0,4212,,"s5cq15 (EICV4_CS, EICV5_CS), s5cq15_v3 (EICV3)",,
s5cq17_v2,[EICV7_CS..EICV7_CS version] Main Source of electricity that you mostly used in,int8,"1=National Grid, 2=Local Mini Grid, 3=Solar energy, 4=Generator (Own, Neighbor, Community), 5=Rechargeable Battery …",7,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq17 (EICV4_CS, EICV5_CS), s5cq17_v3 (EICV3)",,
s5cq18_v2,[EICV7_CS..EICV7_CS version] Main reason preventing your household to use electr,int8,"1=High cost of electricity, 2=Safety concerns, 3=Other, (specify)",3,"household (housing, shocks, services)",0,0,0,0,0,84,,"s5cq18 (EICV4_CS, EICV5_CS), s5cq18_v3 (EICV3)",,
s5cq19_v2,[EICV7_CS..EICV7_CS version] Appliances get damaged/electrical system (voltage s,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,7285,,"s5cq19 (EICV4_CS, EICV5_CS), s5cq19_v3 (EICV3)",,
s5cq20_v2,[EICV7_CS..EICV7_CS version] Amount your household pay for electricity the last,int32,,0,"household (housing, shocks, services)",0,0,0,0,0,7285,,"s5cq20 (EICV4_CS, EICV5_CS)",,
s5cq20b,What is the main kind of internet connection used by household members?,int8,"1=Landline/Cable Internet, 2=Modem, 3=Mobile phone, 4=Wireless, 5=Other",5,"household (housing, shocks, services)",0,0,0,0,0,4310,EICV7_CS: module s01_s5_s7_household,s5cq20b_v2 (EICV3),,
s5cq20c,What is the main barrier/reason for not accessing internet at home?,int8,"1=Do not need the interne, 2=Use internet from elsewhere, 3=Cost of the serviceis too high, 4=No internet equipment /signals in the area, 5=Privacy/security concerns …",7,"household (housing, shocks, services)",0,0,0,0,0,10744,EICV7_CS: module s01_s5_s7_household,s5cq20c_v2 (EICV3),,
s5cq21_v2,[EICV7_CS..EICV7_CS version] Type of your primary cook stove,int8,"1=Cooking gas stove, 2=Electric stove, 3=Biogas stove, 4=Solar cooker, 5=Liquid fuel(kerosene) stove …",11,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq21 (EICV4_CS, EICV5_CS)",,
s5cq22a,Three main sources of cooking fuel you used on this cook stove Most used(Primary,int8,"1=Firewood, 2=Charcoal., 3=Gas, 4=Biogas, 5=Solar power …",14,"household (housing, shocks, services)",0,0,0,0,0,14966,EICV7_CS: module s01_s5_s7_household,,,
s5cq22b,Three main sources of cooking fuel you used on this cook stove Second most used,int8,"1=Firewood, 2=Charcoal., 3=Gas, 4=Biogas, 5=Solar power …",15,"household (housing, shocks, services)",0,0,0,0,0,14966,EICV7_CS: module s01_s5_s7_household,,,
s5cq22c,Three main sources of cooking fuel you used on this cook stove Most used(third),int8,"1=Firewood, 2=Charcoal., 3=Gas, 4=Biogas, 5=Solar power …",15,"household (housing, shocks, services)",0,0,0,0,0,8032,EICV7_CS: module s01_s5_s7_household,,,
s5cq23,Where did you normally cook with the cook stove?,int8,"1=In dwelling, not in  sleeping area, 2=In dwelling, in a sleeping area, 3=In a separate dwelling, 4=In a veranda (roofed platform with at least two open sides), 5=Outdoors …",6,"household (housing, shocks, services)",0,0,0,0,0,14966,EICV7_CS: module s01_s5_s7_household,"s5cq23_v2 (EICV5_CS), s5cq23_v3 (EICV4_CS)",,
s5cq24_v2,[EICV7_CS..EICV7_CS version] How does your household dispose of its rubbish/garb,int8,"1=Publicly managed refuse area, 2=Rubbish collection Service, 3=Thrown in the household?s fields or bushes, 4=Dumped in river/lakes/ditches, 5=Burnt …",7,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq24 (EICV4_CS, EICV5_CS)",,
s5cq25_v2,[EICV7_CS..EICV7_CS version] What type of toilet does your household use?,int8,"1=Flush to piped sewer system, 2=Flush to septic tank, 3=Flush to pit latrine, 4=Ventilated improved pit (VIP) latrine, 5=Pit Latrine with constructed floor slab …",9,"household (housing, shocks, services)",0,0,0,0,0,15054,,"s5cq25 (EICV4_CS, EICV5_CS)",,
s5cq26_v2,[EICV7_CS..EICV7_CS version] Is the toilet facility shared with another househol,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,14918,,"s5cq26 (EICV4_CS, EICV5_CS)",,
s5cq27_v2,[EICV7_CS..EICV7_CS version] Number of households in total use this toilet facil,int8,98=Don?t know,1,"household (housing, shocks, services)",0,0,0,0,0,3229,,"s5cq27 (EICV4_CS, EICV5_CS)",,
s5cq28,Has your (pit latrine or septic tank) ever been emptied?,int8,"1=Yes emptied, 2=Never emptied, 3=Don?t know",3,"household (housing, shocks, services)",0,0,0,0,0,14918,EICV7_CS: module s01_s5_s7_household,,,
s5cq29,who removed the content of toilet last time it was empted,int8,"1=Household, 2=Service provider",2,"household (housing, shocks, services)",0,0,0,0,0,2353,EICV7_CS: module s01_s5_s7_household,,,
s5cq30,Where were the contents emptied to?,int8,"1=Treatment plant, 2=Buried in a covered pit, 3=Uncovered pit/open ground/waterbody, 4=Other (specify), 5=Don?t know",5,"household (housing, shocks, services)",0,0,0,0,0,2353,EICV7_CS: module s01_s5_s7_household,,,
s5cq31,faced any problems that resulted from environmental destruction in the previous,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,15054,EICV7_CS: module s01_s5_s7_household,,,
s5cq32,main disaster you have experienced with your dwelling,int8,"1=Floods, 2=Mountain slides, 3=Heavy rain, 4=Heavy Wind, 5=Other (specify)",5,"household (housing, shocks, services)",0,0,0,0,0,2595,EICV7_CS: module s01_s5_s7_household,,,
s5cq33,Have you received any environmental information in the last 12 months,int8,"1=Yes, 2=No",2,"household (housing, shocks, services)",0,0,0,0,0,15054,EICV7_CS: module s01_s5_s7_household,,,
s5cq34,main source of information on environmental issues,int8,"1=Radio/TV, 2=Social Media, 3=Meetings/trainings, 4=school, 5=Other (specify)",5,"household (housing, shocks, services)",0,0,0,0,0,12918,EICV7_CS: module s01_s5_s7_household,,,
s5eq2a,Main problems affecting your household during the last 12 months(1st  severe sho,int8,"1=Heavy Rain, 2=Floods, 3=Landslides and Mudslides, 4=Drought/irregular rains, prolonged dry spell, 5=Unusually high level of crop pests & disease …",18,"household (housing, shocks, services)",0,0,0,0,0,5407,EICV7_CS: module s01_s5_s7_household,,,
s5eq2b,Main problems affecting your household during the last 12 months(2nd  severe sho,int8,"1=Heavy Rain, 2=Floods, 3=Landslides and Mudslides, 4=Drought/irregular rains, prolonged dry spell, 5=Unusually high level of crop pests & disease …",19,"household (housing, shocks, services)",0,0,0,0,0,5407,EICV7_CS: module s01_s5_s7_household,,,
s5eq2c,Main problems affecting your household during the last 12 months(3rd  severe sho,int8,"1=Heavy Rain, 2=Floods, 3=Landslides and Mudslides, 4=Drought/irregular rains, prolonged dry spell, 5=Unusually high level of crop pests & disease …",19,"household (housing, shocks, services)",0,0,0,0,0,1381,EICV7_CS: module s01_s5_s7_household,,,
s5eq2aa_m,Main problems affecting your household during the last 12 months(1st  severe sho,int8,,0,"household (housing, shocks, services)",0,0,0,0,0,495,EICV7_CS: module s01_s5_s7_household,,,
s5eq2ab_m,Main problems affecting your household during the last 12 months(2nd  severe sho,int8,,0,"household (housing, shocks, services)",0,0,0,0,0,109,EICV7_CS: module s01_s5_s7_household,,,
s5eq2ac_m,Main problems affecting your household during the last 12 months(3rd  severe sho,int8,,0,"household (housing, shocks, services)",0,0,0,0,0,7,EICV7_CS: module s01_s5_s7_household,,,
s5eq2aa_y,Main problems affecting your household during the last 12 months(1st  severe sho,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,495,EICV7_CS: module s01_s5_s7_household,,,
s5eq2ab_y,Main problems affecting your household during the last 12 months(2nd  severe sho,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,109,EICV7_CS: module s01_s5_s7_household,,,
s5eq2ac_y,Main problems affecting your household during the last 12 months(3rd  severe sho,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,7,EICV7_CS: module s01_s5_s7_household,,,
s5eq3c,What did the household do to compensate for the consequences of the chock in the,int8,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery), 2=Reduced expenditure on food, 3=Reduced necessary expenditure on health and education, 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car, 5=Used up savings) …",22,"household (housing, shocks, services)",0,0,0,0,0,211,EICV7_CS: module s01_s5_s7_household,,,
s5eq4a,Number of months did it take your HH to recover from the recent shock and get ba,int8,99=HH not recoverd from the shock,1,"household (housing, shocks, services)",0,0,0,0,0,5407,EICV7_CS: module s01_s5_s7_household,,,
s5eq4b,Number of months did it take your HH to recover from the recent shock and get ba,int8,99=HH not recoverd from the shock,1,"household (housing, shocks, services)",0,0,0,0,0,1381,EICV7_CS: module s01_s5_s7_household,,,
s5eq4c,Number of months did it take your HH to recover from the recent shock and get ba,int8,99=HH not recoverd from the shock,1,"household (housing, shocks, services)",0,0,0,0,0,211,EICV7_CS: module s01_s5_s7_household,,,
s7aq4,"Did any member of your household own and/or raise any livestock, herds, other fa",int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,15053,EICV7_CS: module s01_s5_s7_household,,,
s7aq4a,How many of the following livestock or poultry does the household own - Cattle,int16,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,7818,EICV7_CS: module s01_s5_s7_household,,,
s7aq4b,How many of the following livestock or poultry does the household own - Goats,int16,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,7818,EICV7_CS: module s01_s5_s7_household,,,
s7aq4c,How many of the following livestock or poultry does the household own - Sheep,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,7818,EICV7_CS: module s01_s5_s7_household,,,
s7aq4d,How many of the following livestock or poultry does the household own - Pigs,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,7817,EICV7_CS: module s01_s5_s7_household,,,
s7aq4e,How many of the following livestock or poultry does the household own - Poultry,int16,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,7817,EICV7_CS: module s01_s5_s7_household,,,
s7aq4f,How many of the following livestock or poultry does the household own - Other (s,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,7817,EICV7_CS: module s01_s5_s7_household,,,
s7a2q1_v2,[EICV7_CS..EICV7_CS version] Have you ever received a cow from the Governments ?,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,15054,,"s7a2q1 (EICV4_CS, EICV5_CS)",,
s7a2q3_v2,[EICV7_CS..EICV7_CS version] Do you still keep this animal?,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,1758,,"s7a2q3 (EICV4_CS, EICV5_CS)",,
s7a2q4,Household ever receiced animal from NGO or other social protection scheme,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,15054,EICV7_CS: module s01_s5_s7_household,,,
s7a2q5a,Kind of animal 1st,string,,0,"household / farm (agriculture, livestock)",6420,6900,14308,14419,14580,15054,EICV7_CS: module s01_s5_s7_household,,,
s7a2q6a,Has the number of animals changed (Cow poor family),int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,"household / farm (agriculture, livestock)",0,0,0,0,0,1758,EICV7_CS: module s01_s5_s7_household,,,
s7a2q6b,Has the number of animals changed (1st animal from NGO),int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,"household / farm (agriculture, livestock)",0,0,0,0,0,1468,EICV7_CS: module s01_s5_s7_household,,,
s7a2q6c,Has the number of animals changed (2nd animal from NGO),int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,"household / farm (agriculture, livestock)",0,0,0,0,0,137,EICV7_CS: module s01_s5_s7_household,,,
s7a2q7_v2,[EICV7_CS..EICV7_CS version] Household uses a maintained pasture,int8,"1=Yes,maintained, 2=No,not maintained, 3=No, other place",3,"household / farm (agriculture, livestock)",0,0,0,0,0,8496,,"s7a2q7 (EICV4_CS, EICV5_CS)",,
quintile_v2,[EICV7_CS..EICV7_CS version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,,0,0,0,0,0,15054,,"quintile (EICV1, EICV3, EICV4_CS, EICV5_CS)",,
s5cq4a,Distance in meters between your dwelling,int16,,0,"household (housing, shocks, services)",0,0,0,0,0,11306,EICV7_CS: module s01_s5_s7_household,s5cq4a_v2 (EICV3),,
strata_id,strata_id,int16,,0,,0,0,0,0,0,15054,EICV7_CS: module s9d5_financial_services,,,
food_at_school,Education Expenses/Food at School,int32,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,,,
exp2,Imputed Rents,double,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,exp2_v2 (EICV3),,
exp3,Actual Rents,int32,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,exp3_v2 (EICV3),,
exp4_v2,[EICV7_CS..EICV7_CS version] Water expenses,double,,0,,0,0,0,0,0,15054,,"exp4 (EICV3, EICV4_CS, EICV5_CS)",,
exp5_v2,[EICV7_CS..EICV7_CS version] Electricity expenses,int32,,0,,0,0,0,0,0,15054,,"exp5 (EICV3, EICV4_CS, EICV5_CS)",,
exp6_v2,[EICV7_CS..EICV7_CS version] Annual Non food Expenditures,int32,,0,,0,0,0,0,0,15054,,"exp6 (EICV3, EICV4_CS, EICV5_CS)",,
exp7_v2,[EICV7_CS..EICV7_CS version] Monthly Non food Expenditures,double,,0,,0,0,0,0,0,15054,,"exp7 (EICV3, EICV4_CS, EICV5_CS)",,
exp8_v2,[EICV7_CS..EICV7_CS version] Frequent Non Food Expenditures,double,,0,,0,0,0,0,0,15054,,"exp8 (EICV3, EICV4_CS, EICV5_CS)",,
exp9_v2,[EICV7_CS..EICV7_CS version] Food Consumption/Home,double,,0,,0,0,0,0,0,15054,,"exp9 (EICV3, EICV4_CS, EICV5_CS)",,
exp10_v2,[EICV7_CS..EICV7_CS version] Food outside Home Expenditures,double,,0,,0,0,0,0,0,15054,,"exp10 (EICV3, EICV4_CS, EICV5_CS)",,
exp11_v2,[EICV7_CS..EICV7_CS version] Use values of durable goods,double,,0,,0,0,0,0,0,14798,,"exp11 (EICV3, EICV4_CS, EICV5_CS)",,
hh_index,Household Index,double,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,,,
quintile_eicv7_poverty_file,,int8,,0,,0,0,0,0,0,15054,,,,
cons1ae,Aggregate Consumption/ae,double,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,,,
pov_jan_eicv7_poverty_file,,int8,,0,,0,0,0,0,0,15054,,,,
poverty_eicv7_poverty_file,,int8,,0,,0,0,0,0,0,15054,,,,
epov_jan_eicv7_poverty_file,,int8,,0,,0,0,0,0,0,15054,,,,
poverty_line,Value of Povertyline in Jan/2024 Prices,int32,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,,,
extreme_line,Value of Food Povertyline in Jan/2024 Prices,int32,,0,,0,0,0,0,0,15054,EICV7_CS: module eicv7_poverty_file,,,
s9d1q1,beneficiaries of VUP(any component),int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,15054,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q1,beneficiaries of class public work,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q2m,join the Classic Public Work Programme / Month,int8,"1=January, 2=February, 3=March, 4=April, 5=May …",12,"household (cash transfers, VUP, other income)",0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q2y,join the Classic Public Work Programme / Year,int16,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q3,number of months a household participated in cPW over the last 12 months,int8,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q4,Daily wage,int16,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q5,way by which cPW payment were received to beneficiary,int8,"1=SACCO, 2=Mobile Money/Airtel Money, 3=Not yet paid",3,"household (cash transfers, VUP, other income)",0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6,way of receiving cPW payment,string,,0,"household (cash transfers, VUP, other income)",6420,6900,14308,14419,14580,15054,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_a,Buy Food,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_b,Buy Cloth,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_c,Buy Home Utensils,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_d,Buy Durables asset,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_e,Pay Education/School Fess,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_f,Pay Health/Medical Expenses,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_g,Buy Animals,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_h,Invest in Farming,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_i,Invest in business Income or income generating activity,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_j,Improve dwelling,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_k,"Savings in SACCO,VSLA or Tontine",int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_l,Saving in EJo Heza,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q6_m,Other,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,380,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q7a,Number of delayed days of first last payment,int8,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,381,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q7b,Number of delayed days of second last payment,int8,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,381,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q7c,Number of delayed days of third last payment,int8,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,381,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q8,Did you receive payment for all the work performed during the last 12 months?,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,381,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q9,When was the last Public Works payment received?,int8,"1=Ukwa 1, 2=Ukwa 2, 3=Ukwa 3, 4=Ukwa 4, 5=Ukwa 5 …",12,"household (cash transfers, VUP, other income)",0,0,0,0,0,301,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q10,How much did you receive in the last cPW payment?,int32,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,301,EICV7_CS: module s9d2_classic_public_work,,,
s9d2q11,What is the total value of cPW payments you received over the last 12 months?,int32,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,301,EICV7_CS: module s9d2_classic_public_work,,,
quintile_s9d2_classic_public_wor,Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,,0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
pov_jan_s9d2_classic_public_work,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,,0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
poverty_s9d2_classic_public_work,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,,0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
epov_jan_s9d2_classic_public_wor,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,,0,0,0,0,0,389,EICV7_CS: module s9d2_classic_public_work,,,
s9d1q1_s9d5_financial_services,beneficiaries of VUP(any component),int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,15054,EICV7_CS: module s9d5_financial_services,,,
