variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s5fq0,Id Basic service,int8,"1=Main Drinking/clean Water source, 2=Food market/ shop, 3=Market for selling farm produce, 4=Public transport stage, 5=All-weather roads …",15,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,218700,24660,225810,56565,,,,"{""11"": [""Health post"", ""Sector office""], ""12"": [""Cellule office"", ""Sector office""], ""13"": [""Cellule office"", ""Internet services""], ""14"": [""Internet services"", ""Public telephone""]}"
s5fq1,Frequency of use of service,int8,"1=Not at all, 2=Sometimes, 3=Often, 4=Regularly, 5=Not aware of service",5,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,218700,24660,225810,56565,,,,
s5fq2,Main reason of litle or not used,int8,"1=Too far, 2=Too expensive, 3=Poor quality of service, 4=Too few staff, 5=Not enough equipment …",9,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,106781,11457,97119,27142,,,,
s5fq3h,Time to arrive to the service _hours,int8,,0,"household (housing, services)",0,0,0,0,135085,15323,0,0,,,,
s5fq3m,Time to arrive to the service _minutes_,double,,0,"household (housing, services)",0,0,0,0,135085,15323,0,0,,,,
s5fq4,Distance from here to the nearest,int32,0=No distance,1,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,135085,15323,158688,40357,,,,
s5fq5,Mode of transport to access service,int8,"1=Foot, 2=Bicycle, 3=Motorcycle, 4=Vehicle, 5=Minibus …",8,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,135085,15323,158697,40357,,,,
s5fq6,Service quality satisfaction,int8,"1=Satisfied, 2=Not satisfied",2,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,135085,15323,158697,40357,,,,
s5fq7,Service quality in last 12 months,int8,"1=Declining, 2=Same, 3=Improving, 4=Don't know, 9=Don't know",5,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,135085,15323,158696,40357,,,,
s5fq8,Improved result  of  VUP PW activities,int8,"1=Yes, 2=No, 3=Don?t know, 9=Don?t know",4,"EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,112469,12988,49639,12480,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household (housing, services)",0,0,0,0,0,24660,0,0,,,,
s5fq0d,Basic service description,string,,0,"EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
s0q18m,Month of interview,int8,,0,"household (housing, services)",0,0,0,0,0,24660,0,0,,,,
s0q18y,Year of interview,int16,,0,"household (housing, services)",0,0,0,0,0,24660,0,0,,,,
s5fq3a,Time to arrive to the service (hours),int8,,0,"household (housing, shocks, services)",0,0,0,0,0,0,158692,40357,,,,
s5fq3b,Time to arrive to the service (minutes),int8,,0,"household (housing, shocks, services)",0,0,0,0,0,0,158689,40357,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,"household (housing, shocks, services)",0,0,0,0,0,0,225810,56565,,,EICV7_CS: strata_id,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,"household (housing, shocks, services)",0,0,0,0,0,0,225810,56565,,"quintile (EICV3, EICV4_CS, EICV4_VUP, EICV5_CS)",,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,"household (housing, shocks, services)",0,0,0,0,0,0,225810,56565,,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,"household (housing, shocks, services)",0,0,0,0,0,0,225810,56565,,,,
province_2,Province,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household (housing, shocks, services)",0,0,0,0,0,0,0,56565,,,,
