variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s1q5,Place of birth,int8,"1=Nyarugenge, 2=Gasabo, 3=Kicukiro, 4=Nyanza, 5=Gisagara …",59,0,34784,68398,66081,64314,0,,s1q5_v2 (EICV1),,"{""1"": [""City of Kigali"", ""Nyarugenge""], ""2"": [""Gasabo"", ""Kigali Ngali""], ""3"": [""Gitarama"", ""Kicukiro""], ""4"": [""Butare"", ""Nyanza""], ""5"": [""Gikongoro"", ""Gisagara""], ""6"": [""Cyangugu"", ""Nyaruguru""], ""7"": [""Huye"", ""Kibuye""], ""8"": [""Gisenyi"", ""Nyamagabe""], ""9"": [""Ruhango"", ""Ruhengeri""], ""10"": [""Byumba"", ""Muhanga""], ""11"": [""Kamonyi"", ""Nyarugenge"", ""Umutara""], ""12"": [""Gasabo"", ""Karongi"", ""Kibungo""], ""21"": [""Burundi"", ""Musanze"", ""Nyanza""], ""22"": [""Burera"", ""DRC (Congo)"", ""Gisagara""], ""23"": [""Gicumbi"", ""Nyaruguru"", ""Uganda""], ""24"": [""Huye"", ""Rwamagana"", ""Tanzania""], ""25"": [""Nyagatare"", ""Nyamagabe"", ""Other African country""], ""26"": [""Gatsibo"", ""Other country"", ""Ruhango""], ""13"": [""Kicukiro"", ""Rutsiro""], ""27"": [""Kayonza"", ""Muhanga""], ""28"": [""Kamonyi"", ""Kirehe""], ""42"": [""Gakenke"", ""Gkenke""]}"
s1q6,Nationality,int16,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,0,34785,68398,66081,64314,62110,,s1q6_v2 (EICV1),,"{""67"": [""Greece, Grece"", ""Other foreign"", ""Other foriegn""], ""20"": [""Mali"", ""Rwandan""], ""21"": [""Burundian"", ""Malawi""], ""22"": [""DRC (Congo)"", ""Zambia, Zambie""], ""23"": [""Senegal"", ""Ugandan""], ""24"": [""Chad, Tchad"", ""Tanzanian""], ""25"": [""Other African"", ""Somalia, Somalie""], ""26"": [""Other foreigner"", ""Zimbabwe""], ""40"": [""Eritrea, Erithree"", ""Rwandese""], ""50"": [""Djibouti"", ""Others""], ""60"": [""Rwandese"", ""Spain, Espagne""], ""61"": [""Burundian"", ""Ukraine""], ""62"": [""Congolese"", ""Poland, Pologne""], ""63"": [""Romania"", ""Ugandan""], ""64"": [""Netherlands, Hollande, Pays bas"", ""Tanzanian""], ""65"": [""Belgium, Belgique"", ""Kenyan""], ""66"": [""Czech Republic (Czechia)"", ""Other African""], ""99"": [""Missing"", ""United States of Amerique, Etats Unis d' \u00c1merique,USA, United States, US""]}"
s1q7,Absent from household in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,34785,68398,66081,64314,0,,"s1q7_v2 (EICV7_CS), s1q7_v3 (EICV1)",EICV2: Absent during the last 12 months; EICV4_CS: Absent in the last 12 months,
s1q8,primary  reason of absence from household in the last 12 months,int8,"0=Less than one month, 1=Studies, 2=Seasonal work, 3=Working away, 4=For health care …",14,0,2932,9111,12232,12064,7169,,s1q8_v2 (EICV1),EICV2: Length of absence during the last 12 months; EICV3: Length of absence in the last 12 months; EICV4_CS: Length of absence in last 12 months; EICV5_CS: Length of absence in the last 12 months,"{""1"": [""1 month"", ""Studies""], ""2"": [""2 months"", ""Seasonal work""], ""3"": [""3 months"", ""Working away""], ""4"": [""4 months"", ""For health care""], ""5"": [""5 months"", ""Attend ceremony""], ""6"": [""6 months"", ""Visit friends/family""], ""7"": [""7 months"", ""Training""], ""8"": [""8 months"", ""Detention/compulsory Service""], ""9"": [""9 months"", ""Unexplained absence""], ""10"": [""10 months"", ""New member in the HH""], ""11"": [""11 months"", ""Visitor/Guest in this HH""], ""12"": [""12 months"", ""Other, specify""]}"
s1q9,Main reason of absence from household in the last 12 months,int8,"1=Studies, 2=Seasonal work, 3=Working away, 4=For health care, 5=Attend ceremony …",12,0,1119,9111,12232,12064,0,,"s1q9_v2 (EICV7_CS), s1q9_v3 (EICV1)",EICV2: Main reason for absence; EICV4_CS: Reason for absence,"{""1"": [""Studies"", ""Study""], ""3"": [""Usual work"", ""Working away"", ""Working away now""], ""4"": [""For health care"", ""Health care"", ""Other work""], ""5"": [""Attend ceremony"", ""Health""], ""6"": [""Ceremonial"", ""Visit friend or family"", ""Visit friends/family""], ""7"": [""Training"", ""Visit""], ""8"": [""Detention or compulsory service"", ""Detention/compulsory Service"", ""Training""], ""9"": [""Guardianship"", ""Unexplained absence""], ""10"": [""Not yet arrived in the HH"", ""Other""], ""11"": [""Not yet joined the Household"", ""Other, specify""]}"
s1q10_v2,[EICV2..EICV4_CS version] Lived in another HH during absence,int8,"1=Yes, 2=No, 8=Don't Know, 9=Missing",4,0,1118,0,12232,0,0,,"s1q10 (EICV3, EICV5_CS), s1q10_v3 (EICV7_CS), s1q10_v4 (EICV1)",EICV2: Lived in another household during absence; EICV4_CS: Lived in another HH during absence,
s1q11_v3,[EICV2..EICV2 version] Father still living,int8,"1=Yes, in the household, 2=Yes, in another household, 3=No, 4=Don't know",4,0,20227,0,0,0,0,,"s1q11 (EICV3, EICV4_CS, EICV5_CS), s1q11_v2 (EICV1, EICV7_CS)",,
s1q12_v3,[EICV2..EICV2 version] Mother still living,int8,"1=Yes, in the household, 2=Yes, in another household, 3=No, 4=Don't know",4,0,20227,0,0,0,0,,"s1q12 (EICV3, EICV4_CS, EICV5_CS), s1q12_v2 (EICV7_CS), s1q12_v4 (EICV1)",,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,34785,0,0,0,0,EICV2: module jobstatus_subsistence1,,,
s2aq3_v2,[EICV2..EICV2 version] Highest class attained,int8,"10=First year primary incomplete, 11=Primary 1, 12=Primary 2, 13=Primary 3, 14=Primary 4 …",26,0,22305,0,0,0,0,,"s2aq3 (EICV3), s2aq3_v3 (EICV1)",,
s2aq4_v2,[EICV2..EICV2 version] Certificate or degree received,int8,"1=Primary certificate, 2=Trunk (Junior High) certificate, 3=Vocational certificate, 4=Technical diploma, 5=Humanities …",11,0,22307,0,0,0,0,,"s2aq4 (EICV3), s2aq4_v3 (EICV1)",,
s2aq5,Been to school in the last 12 months,int8,"1=Yes, 2=No",2,0,22307,0,0,0,0,EICV2: module s2_education,s2aq5_v2 (EICV1),,
s2aq6_v2,[EICV2..EICV2 version] Number of days of absent from class in the last week,int8,"8=Vacation, 9=Quit",2,0,9583,0,0,0,0,,"s2aq6 (EICV3), s2aq6_v3 (EICV1)",,
s2aq7_v2,[EICV2..EICV2 version] Cause of absence,int8,"1=Poor health, 2=Hunger, 3=Financial reasons, 4=Family circumstances, 5=Punishment …",6,0,1067,0,0,0,0,,"s2aq7 (EICV1, EICV3)",,
s2aq8a,Time to go to school (one way),int8,,0,0,9583,0,0,0,0,EICV2: module s2_education,,,
s2aq8b,Means of transport to go to school,int8,"1=Foot, 2=Bicycle, 3=Motorcycle, 4=Car, 5=Bus or van …",7,0,8545,0,0,0,0,EICV2: module s2_education,,,
s2aq9,Problems with the school,int8,"1=No problems, 2=Books and supplies unavailable, 3=Mediocre instruction, 4=No teachers available, 5=Poor installation …",7,0,9583,0,0,0,0,EICV2: module s2_education,,,
s2aq10a,Annual registration fees,int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10b,Annual parental contributions/collection,int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10c,Annual expenditures on uniforms,int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10d,Annual expenditure on books and school supplies,int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10e,Annual school transport expenditures,int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10f,Annual expenditures for meals (room and board),int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10g,"Annual expenditures for associations, excursions, clubs etc.",int32,0=Zero,1,0,9582,0,0,0,0,EICV2: module s2_education,,,
s2aq10h,Total education expenditures,int32,0=Zero,1,0,1060,0,0,0,0,EICV2: module s2_education,,,
s2aq11_v2,[EICV2..EICV2 version] Person responsible for payment of education expenditures,int8,"1=Father, 2=Mother, 3=Both parents, 4=Other household member, 5=Other-relative …",10,0,9580,0,0,0,0,,"s2aq11 (EICV3), s2aq11_v3 (EICV1)",,
s2aq12,Dropped out of school,int8,"1=Yes, 2=No, 3=End of studies",3,0,22303,0,0,0,0,EICV2: module s2_education,s2aq12_v2 (EICV1),,
s2bq2,Interruption of studies for one or more trimesters,int8,"1=Yes, 2=No",2,0,22306,0,0,0,0,EICV2: module s2_education,s2bq2_v2 (EICV1),,
s2bq3,Reason for interruption,int8,"1=Cost, 2=Work, 3=Marriage, 4=Change of residence, 5=Excluded …",10,0,2328,0,0,0,0,EICV2: module s2_education,,,
s2bq4,Length of interruption (months),int8,0=Less than one month,1,0,2326,0,0,0,0,EICV2: module s2_education,s2bq4_v2 (EICV1),,
s2bq5,Repeated primary class,int8,"1=Yes, 2=No",2,0,22306,0,0,0,0,EICV2: module s2_education,s2bq5_v2 (EICV1),,
s2bq6,Times repeated class (primary),int8,,0,0,10574,0,0,0,0,EICV2: module s2_education,s2bq6_v2 (EICV1),,
s2bq8,Obtained a certificate of completion for primary school,int8,"1=Yes, 2=No",2,0,22306,0,0,0,0,EICV2: module s2_education,s2bq8_v2 (EICV1),,
