variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
s2aq8,Cause of absence,int8,"1=Poor health, 2=Hunger, 3=Financial reasons, 4=Family circumstances, 5=Fear of punishment …",7,0,0,9846,0,0,0,,s2aq8_v2 (EICV1),,
s2aq9a,Time required to go to school,int8,"0=Live at school, 95=More than 90 minutes",2,0,0,21871,0,0,0,,s2aq9a_v2 (EICV1),,
s2aq9b,Type of transport used to go to school,int8,"0=Live at school, 1=Foot, 2=Bicycle, 3=Motorcycle, 4=Vehicle …",8,0,0,21871,0,0,0,,s2aq9b_v2 (EICV1),,
s2aq10,Problems with school,int8,"1=No problem, 2=Books and material shortage, 3=Poor instruction, 4=Absent teachers, 5=Too few teachers appointed …",9,0,0,21871,0,0,0,,s2aq10_v2 (EICV1),,
s2aq11,Separate toilet facilities at school,int8,"1=Yes, 2=No, 3=Do not know",3,0,0,21871,0,0,0,,"s2aq11_v2 (EICV2), s2aq11_v3 (EICV1)",,
s2aq12a,"School,tuition and Registration fees",int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12b,Parent contributions,int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12c,School uniforms,int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12d,Books and supplies,int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12e,School transportation expenditures,int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12f,School board and food expenditures,int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12g,Other schooling expenditures,int32,0=Zero,1,0,0,19812,0,0,0,,,,
s2aq12h,Total expenditures on school,int32,0=Zero,1,0,0,2186,0,0,0,,,,
s2aq13_v2,[EICV3..EICV3 version] Responsible for payment of majority of school related ex,int8,"1=Father, 2=Mother, 3=Both parents, 4=Other household members, 5=Other relatives …",11,0,0,21871,0,0,0,,"s2aq13 (EICV1, EICV2)",,
s2aq14,School interuption,int8,"1=Interrupted primary, 2=Interrupted secondary, 3=Interrupted both primary and secondary, 4=Never interrupted",4,0,0,21871,0,0,0,,s2aq14_v2 (EICV1),,
s2aq15,Reason for leaving school,int8,"1=Cost, 2=Work, 3=Marriage, 4=Change of residence, 5=Excluded …",10,0,0,2165,0,0,0,,,,
s2aq16,Length of time of  school interuption,int16,,0,0,0,2165,0,0,0,,,,
s2b1q1,Last primary class successfully attained,int8,"10=No P or S class completed, 11=Primary 1, 12=Primary 2, 13=Primary 3, 14=Primary 4 …",7,0,0,21871,0,0,0,,,,
s2b1q2,Ever repeated primary school class,int8,"1=Yes, 2=No",2,0,0,21871,0,0,0,,,,
s2b1q3,Number of times repeated primary class,int8,,0,0,0,14402,0,0,0,,,,
s2b1q4,Type of primary school attended,int8,"1=Public, 2=Private, 3=Free susdised",3,0,0,21871,0,0,0,,,,
s2b1q5,Currently in primary school,int8,"1=Yes, 2=No he did finish, 3=No he didn't",3,0,0,21871,0,0,0,,,,
s2b1q6,Obtained primary school certificate,int8,"1=Yes, 2=No",2,0,0,4925,0,0,0,,,,
s2b1q7,School joined after primary school,int8,"1=Secondary, 2=Technical or vocationsl, 3=Both secondary and technical, 4=None",4,0,0,4925,0,0,0,,,,
s2b1q8,Highest secondary school class succesfully attained,int8,"30=Did not complete fisrt year primary, 31=Secondary 1, 32=Secondary 2, 33=Secondary 3, 34=Secondary 4 …",7,0,0,4504,0,0,0,,,,
s2b1q9,Ever repeated a secondary school class,int8,"1=Yes, 2=No",2,0,0,4504,0,0,0,,,,
s2b1q10,Number of times repeated secondary school class,int8,,0,0,0,749,0,0,0,,,,
s2b1q11,Highest diploma or class certificate received,int8,"1=Primary completed, 2=Secondary common, 3=Post primary certificate, 4=Diploma A3, D5, D4, 5=Humanities Diploma …",10,0,0,4504,0,0,0,,,,
s2b1q12,Type of secondary school attended,int8,"1=Public, 2=Private, 3=Free or subsidized",3,0,0,4504,0,0,0,,,,
s2b1q13,Currently in secondary school,int8,"1=Yes, 2=No",2,0,0,4504,0,0,0,,,,
s2b2q14,Attended or attending  vocational school or college,int8,"1=Yes, 2=No",2,0,0,1049,0,0,0,,,,
s2b2q15,Highest class succefully attained in  vocational school,int8,"20=Never completed the first year, 21=Post primary 1, 22=Post primary 2, 23=Post primary 3, 24=Post primary 4 …",7,0,0,135,0,0,0,,,,
s2b2q16,Highest vocational certificate obtained,int8,"1=Primary completed, 2=Secondary common, 3=Post primary certificate, 4=Diploma A3, D5, D4, 5=Humanities Diploma …",10,0,0,96,0,0,0,,,,
s2b2q17,Type of vocational school,int8,"1=TechnIcal public, 2=Technical private, 3=Technical private with subsidy, 4=Vocational public, 5=Vocational private …",6,0,0,135,0,0,0,,,,
s2b2q18,Currently attending technical or vocational school,int8,"1=Yes, 2=No",2,0,0,135,0,0,0,,,,
s2b2q19,Attended or attending school of higher learning,int8,"1=Yes, 2=No",2,0,0,953,0,0,0,,,,
s2b2q20,Number of years in school of higher learning,int8,,0,0,0,578,0,0,0,,,,
s2b2q21,Current institution of higher learning attended,int8,"1=College of education, 2=University, 3=Technical College, 4=Institute, 5=Other",5,0,0,583,0,0,0,,,,
s2b2q22,Type of institution,int8,"1=Public, 2=Private, 3=Free or subsidised",3,0,0,583,0,0,0,,,,
s2b2q23,Highset university diploma or certificate obtained,int8,"1=Primary completed, 2=Secondary common, 3=Post primary certificate, 4=Diploma A3, D5, D4, 5=Humanities Diploma …",10,0,0,583,0,0,0,,,,
s2cq1m,When last attended school (Month),int8,,0,0,0,24821,0,0,0,,,,
s2cq1y,When last attended shool (Year),int16,,0,0,0,24821,0,0,0,,,,
s2cq2,Reason for leaving school,int8,"1=Cost, 2=Work, 3=Marriage, 4=Change of residence, 5=Excluded …",12,0,0,26038,0,0,0,,"s2cq2_v2 (EICV2), s2cq2_v3 (EICV1)",,
s2cq3,Highest class succesfully attained in school,int8,"1=Pre-primary, 10=Not complete P1, 11=Primary 1, 12=Primary 2, 13=Primary 3 …",32,0,0,24867,0,0,0,,"s2cq3_v2 (EICV2), s2cq3_v3 (EICV1)",,
s2cq4,Highest school diploma or certificate obtained,int8,"1=Primary completed, 2=Secondary common, 3=Post primary certificate, 4=Diploma A3, D5, D4, 5=Humanities Diploma …",11,0,0,24867,0,0,0,,"s2cq4_v2 (EICV2), s2cq4_v3 (EICV1)",,
s2cq5,Attended any short-term training course<6 months,int8,"1=Yes, 2=No",2,0,0,26038,0,0,0,,"s2cq5_v2 (EICV2), s2cq5_v3 (EICV1)",,
s2cq7,Amount paid on training fees last 12 months,int32,,0,0,0,4589,0,0,0,,"s2cq7_v2 (EICV2), s2cq7_v3 (EICV1)",,
s2cq8,Amount paid on other training costs last 12 months,int32,,0,0,0,4589,0,0,0,,s2cq8_v2 (EICV2),,
s2cq9,Last training related to current employment,int8,"1=Yes, current employment, 2=Yes, future employment, 3=No",3,0,0,4589,0,0,0,,"s2cq9_v2 (EICV2), s2cq9_v3 (EICV1)",,
s2dq1,Able to read a simple written note,int8,"1=Yes, 2=No",2,0,0,41659,0,0,0,,,,
s2dq2,Language able to read,int8,"1=Rwandan, 2=Swahili, 3=French, 4=English, 5=Rwandan and Swahili …",15,0,0,20497,0,0,0,,,,
s2dq3,Able to write a simple letter,int8,"1=Yes, 2=No",2,0,0,20497,0,0,0,,,,
s2dq4,Language able to write,int8,"1=Rwandan, 2=Swahili, 3=French, 4=English, 5=Rwandan and Swahili …",15,0,0,18577,0,0,0,,,,
s2dq5,Attended literacy training courses,int8,"1=Yes, 2=No",2,0,0,41659,0,0,0,,,,
s2dq6,Able to do a written calculation,int8,"1=Yes, 2=No",2,0,0,41659,0,0,0,,,,
s2dq7,Best writting language,int8,"1=French, 2=English, 3=Both, 4=Others, 5=No language",5,0,0,33061,0,0,0,,,,
s2dq8,Ever used a computer,int8,"1=Yes, 2=No",2,0,0,33061,0,0,0,,,,
s2dq9,Confidence to use computer,int8,"1=Yes, 2=No",2,0,0,3748,0,0,0,,,,
s2dq10,Apprenticeship,int8,"1=Yes, currently, 2=Yes, in the past, 3=No",3,0,0,56116,0,0,0,,,,
s2dq11,Length of apprenticeship,int8,"0=Less than one month, 99=Missing",2,0,0,758,0,0,0,,,,
s2dq12,Subject of apprenticeship,int8,"1=Jewelry, 2=Tile setting, 3=Calligraphy, 4= Chaudronnerie, 5=Driver's school …",36,0,0,7272,0,0,0,,,,
s2dq13,Payment of apprenticeship,int8,"1=Yes, in kind payment, 2=Yes, paid cash, 3=No",3,0,0,7272,0,0,0,,,,
s2dq14,Amount paid on fees for apprenticeship last 12 months,int32,,0,0,0,2274,0,0,0,,,,
s2dq15,Amount paid on other costs for apprenticeship last 12 months,int32,,0,0,0,2274,0,0,0,,,,
s3aq1_v2,[EICV3..EICV3 version] PID of respondent,int32,,0,0,0,68398,0,0,0,,"s3aq1 (EICV1, EICV2)",,
s3aq2,Main disability suffered,int8,"1=No disability, 2=Vision disability, 3=Deaf or mute, 4=Disability in the arms, 5=Disability in the legs …",9,0,0,68398,0,0,0,,"s3aq2_v2 (EICV2), s3aq2_v3 (EICV1)",,
s3aq3y,Duration of disability (years),int8,"0=Less than one month, 95=More than 95 years, 97=From birth",3,0,0,3066,0,0,0,,,,
s3aq3m,Duration of disability (months),int8,0=Less than one month,1,0,0,2743,0,0,0,,,,
s3aq7y,Duration of health problem (years),int8,95=Greater than 95 years,1,0,0,11955,0,0,0,,,,
s3aq7m,Duration of health problem (months),int8,0=Less than ome month,1,0,0,11955,0,0,0,,,,
s3aq8,Unable to leave house due to health problem,int8,"1=Yes, 2=No",2,0,0,11955,0,0,0,,"s3aq8_v2 (EICV2), s3aq8_v3 (EICV1)",,
s3aq9,Days unable to leave house,int8,,0,0,0,5957,0,0,0,,"s3aq9_v2 (EICV2), s3aq9_v3 (EICV1)",,
s3aq11,Medical consultation in the last 2 weeks,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,68398,0,0,0,,"s3aq11_v2 (EICV2), s3aq11_v3 (EICV1)",,
s3aq15,Nature of medical establishment,int8,"1=Public, 2=Private, 3=Semi-private",3,0,0,5038,0,0,0,,s3aq15_v2 (EICV2),,
s3aq21,Admition at hospital or any medical establishment in the last 2 weeks,int8,"1=Yes, 2=No, 3=Do not know",3,0,0,68398,0,0,0,,"s3aq21_v2 (EICV2), s3aq21_v3 (EICV1)",,
s3aq24,Purchase of medicines or medical supplies in the last 2 weeks,int8,"1=Yes, 2=No, 3=Do not know",3,0,0,68398,0,0,0,,"s3aq24_v2 (EICV2), s3aq24_v3 (EICV1)",,
s3aq27,Amount paid for transport to and from medical establishment in the last 2 weeks,int32,0=Zero,1,0,0,7024,0,0,0,,s3aq27_v2 (EICV2),,
s3aq28,Amount paid for health care if not possible to itemize,int32,0=Zero,1,0,0,4817,0,0,0,,,,
s3aq29,How much of total expsenses covered by insurance,int32,0=Zero,1,0,0,5445,0,0,0,,,,
s3bq1_v2,[EICV3..EICV3 version] PID of respondent,int32,,0,0,0,10300,0,0,0,,"s3bq1 (EICV1, EICV2)",,
s3bq3,Vaccination card,int8,"1=Yes, 2=No",2,0,0,10249,0,0,0,,s3bq3_v2 (EICV1),,
s3bq4a,Infant vaccination BCG since birth,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,"s3bq4a_v2 (EICV2), s3bq4a_v3 (EICV1)",,
s3bq4b,Infant vaccination Polio since birth,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,"s3bq4b_v2 (EICV2), s3bq4b_v3 (EICV1)",,
s3bq4c,Infant vaccination DTC since birth,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,,,
s3bq4d,Infant vaccination Measles since birth,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,,,
s3bq5a,Vaccination BCG last 12 months,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,s3bq5a_v2 (EICV1),,
s3bq5b,Vaccination polio last 12 months,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,s3bq5b_v2 (EICV1),,
s3bq5c,Vaccination DTC last 12 months,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,,,
s3bq5d,Vaccination Measles last 12 months,int8,"1=Yes, complete dose, 2=Yes, incomplete dose, 3=No, 4=Do not know, 5=Not applicable",5,0,0,10249,0,0,0,,,,
s3bq6,Place of last vaccination,int8,"1=Hospital, 2=Health centre, 3=School, 4=Mobile unit, 5=Vaccination campaign …",7,0,0,10249,0,0,0,,"s3bq6_v2 (EICV2), s3bq6_v3 (EICV1)",,
s3bq7,Amount paid or to pay for last vaccination,int32,,0,0,0,10249,0,0,0,,"s3bq7_v2 (EICV2), s3bq7_v3 (EICV1)",,
s4aq1_v2,[EICV3..EICV3 version] PID of respondent,int32,,0,0,0,68398,0,0,0,,"s4aq1 (EICV4_CS, EICV5_CS, EICV7_CS), s4aq1_v3 (EICV1)",,
s4aq2_v2,[EICV3..EICV3 version] Always lived in the district,int8,"1=Yes, 2=No",2,0,0,68398,0,0,0,,"s4aq2 (EICV4_CS, EICV5_CS, EICV7_CS), s4aq2_v3 (EICV1)",,
s4aq3y,Duration since last move (years),int8,0=Less than one year,1,0,0,20640,0,0,0,,,,
s4aq3m,Duration since last move (months0,int8,,0,0,0,20640,0,0,0,,,,
s4aq4,District or foreign country lived prior to current place,int8,"1=Nyarugenge, 2=Gasabo, 3=Kicukiro, 4=Nyanza, 5=Gisagara …",36,0,0,20640,0,0,0,,s4aq4_v2 (EICV1),,
s4aq5_v2,[EICV3..EICV3 version] Kind of place lived prior to current place,int8,"0=Less than one year, 1=Capital, 2=Big city, 3=Other town, 4=Countryside",5,0,0,20640,0,0,0,,"s4aq5 (EICV4_CS, EICV5_CS), s4aq5_v3 (EICV1)",,
s4aq6,Duration lived in the previuos location years,int8,0=Less than one year,1,0,0,20640,0,0,0,,s4aq6_v2 (EICV1),,
s4aq7_v3,[EICV3..EICV3 version] Primary reason for moving,int8,"1=Employment, 2=Loss of employment, 3=Employment of spouse, 4=Marriage, 5=Othe family reasons …",14,0,0,20640,0,0,0,,"s4aq7 (EICV1, EICV5_CS, EICV7_CS), s4aq7_v2 (EICV4_CS)",,
s4aq8_v3,[EICV3..EICV3 version] Who you moved with,int8,"1=Alone, 2=Part of family, 3=All of family",3,0,0,20640,0,0,0,,"s4aq8 (EICV4_CS, EICV7_CS), s4aq8_v2 (EICV1, EICV5_CS)",,
s4bq1_v3,[EICV3..EICV3 version] Take a domestic trip in the mast 12 months,int8,"1=Yes, 2=No",2,0,0,37911,0,0,0,,"s4bq1 (EICV5_CS, EICV7_CS), s4bq1_v2 (EICV4_CS), s4bq1_v4 (EICV1)",,
s4bq2_v3,[EICV3..EICV3 version] How many domestic trips taken in the last 12 month,int8,,0,0,0,15073,0,0,0,,"s4bq2 (EICV5_CS, EICV7_CS), s4bq2_v2 (EICV4_CS), s4bq2_v4 (EICV1)",,
s4bq3a,Day trips taken in the last 12 months,int8,,0,0,0,15073,0,0,0,,s4bq3a_v2 (EICV1),,
s4bq3b,Over night trips taken in the last 12 months,int8,,0,0,0,15073,0,0,0,,s4bq3b_v2 (EICV1),,
s4bq3c,Total number if nights away from home,int16,,0,0,0,15073,0,0,0,,,,
s4bq4_v2,[EICV3..EICV3 version] Principal destination on the last trip,int16,"1=Nyarugenge, 2=Gasabo, 3=Kicukiro, 4=Nyanza, 5=Gisagara …",36,0,0,15073,0,0,0,,"s4bq4 (EICV4_CS, EICV5_CS, EICV7_CS), s4bq4_v3 (EICV1)",,
s4bq5_v4,[EICV3..EICV3 version] Main purpose of the visit,int8,"1=Leisure or vacation, 2=Visiting friends or relatives, 3=Business conference, 4=Medical, 5=Religious …",6,0,0,15073,0,0,0,,"s4bq5 (EICV7_CS), s4bq5_v2 (EICV5_CS), s4bq5_v3 (EICV4_CS), s4bq5_v5 (EICV1)",,
s4bq6_v4,[EICV3..EICV3 version] Nights away on the most recent trip,int8,,0,0,0,15073,0,0,0,,"s4bq6 (EICV7_CS), s4bq6_v2 (EICV5_CS), s4bq6_v3 (EICV4_CS), s4bq6_v5 (EICV1)",,
s4bq7_v4,[EICV3..EICV3 version] Main type of accomodation on the most recent trip,int8,"1=Hotel or similar, 2=Friends or family, 3=Other",3,0,0,9785,0,0,0,,"s4bq7 (EICV7_CS), s4bq7_v2 (EICV5_CS), s4bq7_v3 (EICV4_CS)",,
s4bq8_v2,[EICV3..EICV3 version] Mode of transport,int8,"1=Private transport, 2=Bus or minibus, 3=Motorcycle, 4=Boat, 5=Foot (recoded) …",6,0,0,15073,0,0,0,,"s4bq8 (EICV4_CS, EICV7_CS), s4bq8_v3 (EICV1)",,
s4bq9a_v2,[EICV3..EICV3 version] Amount spent on accomodation,int32,,0,0,0,15073,0,0,0,,s4bq9a (EICV5_CS),,
s4bq9b_v2,[EICV3..EICV3 version] Amount spent on food and beverages,int32,,0,0,0,15073,0,0,0,,s4bq9b (EICV5_CS),,
s4bq9c_v2,[EICV3..EICV3 version] Amount spent on transport,int32,,0,0,0,15073,0,0,0,,s4bq9c (EICV5_CS),,
s4bq9d_v2,[EICV3..EICV3 version] Amount spent on tour guides,int32,,0,0,0,15073,0,0,0,,s4bq9d (EICV5_CS),,
s4bq9e_v2,[EICV3..EICV3 version] Amount spent on recreation or entertainment,int32,,0,0,0,15073,0,0,0,,s4bq9e (EICV5_CS),,
s4bq9f_v2,[EICV3..EICV3 version] Amount spent shopping,int32,,0,0,0,15073,0,0,0,,s4bq9f (EICV5_CS),,
s4bq9g_v2,[EICV3..EICV3 version] Amount spent on other services,int32,,0,0,0,15073,0,0,0,,s4bq9g (EICV5_CS),,
s4bq9h_v2,[EICV3..EICV3 version] Total amount spent on last trip,int32,,0,0,0,4994,0,0,0,,s4bq9h (EICV5_CS),,
s4bq10_v2,[EICV3..EICV3 version] Number of people covered by expenditure,int8,,0,0,0,15073,0,0,0,,s4bq10 (EICV7_CS),,
pid_nisr,NISR person id as shipped (EICV3 PID = hhid*100 + person),double,,0,0,0,68398,0,0,0,,,,
s6aq1,ID number of respondent,int32,,0,0,0,56116,0,53664,0,EICV3: module s06ab_occupation,s6aq1_v2 (EICV2),EICV3: PID of respondent,
s6aq2_v2,[EICV3..EICV4_CS version] Work on own/HH farm (last 12 months),int8,"1=Yes, 2=No, 9=Missing",3,0,0,56116,55079,0,0,,"s6aq2 (EICV5_CS, EICV7_CS), s6aq2_v3 (EICV2)",EICV3: Cultivated own farm in the alsat 12 months; EICV4_CS: Work on own/HH farm (last 12 months),
s6aq3,"Agricultural work for salary, wages, in-kind (last 12 months)",int8,"1=Yes, 2=No, 9=Missing",3,0,0,56116,55079,0,0,EICV3: module s06ab_occupation,"s6aq3_v2 (EICV7_CS), s6aq3_v3 (EICV5_CS), s6aq3_v4 (EICV2)",EICV3: Paid agricultural activity in the last 12 months,
s6aq4,Worked for salary or wages in non-farm sector in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,56116,55079,53666,0,EICV3: module s06ab_occupation,"s6aq4_v2 (EICV2, EICV7_CS)",EICV3: Worked fo salary or wages in non-farm sector in th; EICV4_CS: Non-farm work for salary or wages (last 12 months),
s6aq5,Run a non-farm business for cash or profit in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,56116,55079,53666,0,EICV3: module s06ab_occupation,"s6aq5_v2 (EICV7_CS), s6aq5_v3 (EICV2)",EICV3: Run a non-fram business for cash or profit in the ; EICV4_CS: Non-farm business for cash/profit (last 12 months),
s6aq6,Worked in a non-fam business in the last 12 months,int8,"1=Yes, 2=No, 3=VUP does not exist here",3,0,0,56116,0,53666,0,EICV3: module s06ab_occupation,"s6aq6_v2 (EICV7_CS), s6aq6_v3 (EICV4_CS), s6aq6_v4 (EICV2)",EICV3: Participation in VUP works program in the last 12 ,
s6aq7_v2,[EICV3..EICV3 version] Occupational status over last 12 months,int8,"1=Domestic studies, 2=Student, 3=Retired, 4=Living on investments, 5=Sickness or health …",10,0,0,23477,0,0,0,,s6aq7 (EICV7_CS),,
s6bq3_v2,[EICV3..EICV3 version] Wish of additional or new employment,int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,,"s6bq3 (EICV7_CS), s6bq3_v3 (EICV2)",,
s6bq5_v2,[EICV3..EICV3 version] Number of desired extra work hours per week,int8,,0,0,0,17863,0,0,0,,"s6bq5 (EICV7_CS), s6bq5_v3 (EICV2)",,
s6bq6a,Something done to secure employment-1,int8,"1=Asked a friend or relaitve, 2=Applied for a job, 3=Called in employers, 4=Listened to radio announcements, 5=Read published announcements …",7,0,0,17863,0,0,0,EICV3: module s06ab_occupation,s6bq6a_v2 (EICV2),,
s6bq6b,Something done to secure employment-2,int8,"1=Asked a friend or relaitve, 2=Applied for a job, 3=Called in employers, 4=Listened to radio announcements, 5=Read published announcements …",7,0,0,17863,0,0,0,EICV3: module s06ab_occupation,s6bq6b_v2 (EICV2),,
s6bq9,Still employed at full-time job,int8,"1=Yes, 2=No",2,0,0,4932,0,0,0,EICV3: module s06ab_occupation,,,
s6bq10y,Year stopped working ful time job,int16,,0,0,0,2710,0,0,0,EICV3: module s06ab_occupation,,,
s6bq10m,Month stopped working full time job,int8,0=,1,0,0,2710,0,0,0,EICV3: module s06ab_occupation,,,
s6gq1,Foraging firewood for household last 7 days,int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,EICV3: module s06g_timeuse,,,
s6gq2,Number of hours spent foraging fire wood last 7 days,int8,0=Less than an hour,1,0,0,22313,0,0,0,EICV3: module s06g_timeuse,,,
s6gq3,Fodder serching or grazing for household animals last 7 days,int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,EICV3: module s06g_timeuse,,,
s6gq4,Number of hours spent carring or searching foder,int8,0=Less than an hour,1,0,0,25660,0,0,0,EICV3: module s06g_timeuse,,,
s6gq5,Water searching or fetching last 7 days,int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,EICV3: module s06g_timeuse,,,
s6gq6,Number of hours spent searching for water last 7 days,int8,0=Less than an hour,1,0,0,32600,0,0,0,EICV3: module s06g_timeuse,,,
s6gq7,Going to the market for household last 7 days,int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,EICV3: module s06g_timeuse,,,
s6gq8,Number of hours spent in market last 7 days,int8,0=Less than an hour,1,0,0,14660,0,0,0,EICV3: module s06g_timeuse,,,
s6gq9,Cooking for household last 7 days,int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,EICV3: module s06g_timeuse,,,
s6g10,Number of hours spent cooking over last 7 days,int8,0=Less than an hour,1,0,0,28956,0,0,0,EICV3: module s06g_timeuse,,,
s6gq11,"Other household chores;laundry,cleaning,looking after children,etc last 7 days",int8,"1=Yes, 2=No",2,0,0,56116,0,0,0,EICV3: module s06g_timeuse,,,
s6gq12,Number of hours spent on other househld chores last 7 days,int8,0=Less than an hour,1,0,0,33129,0,0,0,EICV3: module s06g_timeuse,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,66081,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,66081,64314,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,66081,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,66081,0,0,EICV4_CS: module current_main_activity6,,,
s0q19y,Year of interview,int8,,0,0,0,0,66081,0,0,EICV4_CS: module current_main_activity6,,,
pop_wt,Population Weight,double,,0,0,0,0,63040,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,66081,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,66081,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,66081,0,0,EICV4_CS: module current_main_activity6,,,
s1q15_v2,[EICV4_CS..EICV4_CS version] HH membership,int8,"1=Yes, 2=No",2,0,0,0,66081,0,0,,"s1q15 (EICV5_CS), s1q15_v3 (EICV1)",,
s2q1,ID number of respondent,int32,97=It is not a HH member,1,0,0,0,66025,64314,0,,,EICV4_CS: pid of respondent,
s2q2,Always lived in the district,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,66033,64314,62110,,,,
s2q3y,Duration since last move (years),int8,"0=Less than one year, 99=Missing",2,0,0,0,21050,18653,18102,,,EICV4_CS: Time since last move (years); EICV5_CS: Duration since last move _years_,
s2q3m,Duration since last move (months),int8,99=Missing,1,0,0,0,21050,18653,2078,,,EICV4_CS: Time since last move (months); EICV5_CS: Duration since last move _months_,
s2q4,District or foreign country lived prior to current place,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",38,0,0,0,21050,18653,0,,,EICV4_CS: District or foreign country lived prior to arrival,"{""42"": [""Gakenke"", ""Gkenke""]}"
s2q5,Kind of place lived prior to current place,int8,"1=Capital, 2=Big city, 3=Other town, 4=Countryside",4,0,0,0,14510,14669,15741,,,EICV4_CS: Kind of place lived prior to arrival,
s2q6,Duration lived in the previuos location years,int16,"0=Less than one year, 99=Missing",2,0,0,0,21050,18653,18102,,,EICV4_CS: Duration of stay in the previous location (years),
s2q7,Primary reason for moving,int8,"1=Employment, 2=Loss of employment, 3=Employment of spouse, 4=Marriage, 5=Other family reasons, specify …",17,0,0,0,21050,18653,18102,,,,"{""5"": [""Other family reasons"", ""Other family reasons, specify""], ""7"": [""Disasters"", ""Disasters or conflicts"", ""Disasters or insecurity""], ""8"": [""Bad health"", ""Health""], ""9"": [""House built elsewhere"", ""Live in their Own house built elsewhere""], ""13"": [""Desire to return home"", ""Parent/HH moved""], ""14"": [""Inadequate access to public services/infrastructure"", ""Parent/HH moved""], ""15"": [""Other"", ""Other _specify_"", ""Return home""], ""16"": [""Return home"", ""conflicts""]}"
s2q8,Move alone or with other members of your household,int8,"1=Alone, 2=Part of Household, 3=All of Household, 9=Missing",4,0,0,0,21050,18653,18102,,,EICV4_CS: Moved alone or with other HH members,"{""2"": [""Part of House hold"", ""Part of Household"", ""Part of family""], ""3"": [""All of House hold"", ""All of Household"", ""All of family""]}"
s3q1,ID number of respondent,int32,97=It is not a HH member,1,0,0,0,66001,64314,0,,,EICV4_CS: pid of respondent,
s3q2_v2,[EICV4_CS..EICV4_CS version] Suffers from a major disability,int8,"1=Without Disability, 2=Visual disability, 3=Deaf and/or mute, 4=Disability in the arms, 5=Disability in the legs …",10,0,0,0,66033,0,0,,"s3q2 (EICV5_CS, EICV7_CS)",,
