variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s7eq4,Months of the year harvested,int8,99=Missing,1,"household / farm (agriculture, livestock)",0,0,145711,25271,118099,13913,,,EICV4_CS: Months of the year harvesting this crop; EICV4_VUP: Months of the year harvesting this crop,
s7eq5_v2,[EICV4_CS..EICV4_VUP version] Sell all or part of the harvest,int8,"1=Yes, regularly all, 2=Yes, regularly part of it, 3=Yes, occasionally all, 4=Yes, occasionally part of it, 5=Never …",6,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,"s7eq5 (EICV5_CS, EICV5_VUP)",,
s7eq6a_v2,[EICV4_CS..EICV4_VUP version] Quantity sold over last 12 months,double,,0,"household / farm (agriculture, livestock)",0,0,26274,4495,0,0,,"s7eq6a (EICV5_CS, EICV5_VUP)",,
s7eq6b,Time unit for the sale,int8,"1=Week, 2=Month, 3=Quarter, 4=Year, 9=Missing",5,"household / farm (agriculture, livestock)",0,0,26274,4495,18587,2310,,,EICV4_CS: Sale of small crops (time unit); EICV4_VUP: Sale of small crops (time unit),
s7eq7,Amount you received from the sale,int32,"9999999=Missing, 999999999=Missing",2,"household / farm (agriculture, livestock)",0,0,26274,4495,18587,2310,,,EICV4_CS: Amount received from sale; EICV4_VUP: Amount received from sale,
s7eq8_v2,[EICV4_CS..EICV4_VUP version] Principal market or outlet,int8,"1=Purchase in the field, 2=Trader in the market, 3=Individual consumer, 4=Commercial company, 5=Cooperative …",8,"household / farm (agriculture, livestock)",0,0,26274,4495,0,0,,"s7eq8 (EICV5_CS, EICV5_VUP)",,
s7eq9_v2,[EICV4_CS..EICV4_VUP version] Value received for sale of entire harvest,int32,"9999999=Missing, 999999999=Missing",2,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,"s7eq9 (EICV5_CS, EICV5_VUP)",,
s7eq10,Consumed own produce small scale crops,int8,"1=Yes, always, 2=Yes, Often, 3=No, 9=Missing",4,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,,,
s7eq11a,Quantity consumed by HH over last 7 days,double,,0,"household / farm (agriculture, livestock)",0,0,139066,24042,0,0,,,,
s7eq11b,Own consumption (Unit of time),int8,"1=Day, 2=Week, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,48452,8068,0,0,,,,
s7eq2d,Crop name,string,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household / farm (agriculture, livestock)",0,0,145711,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household / farm (agriculture, livestock)",0,0,145711,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household / farm (agriculture, livestock)",0,0,145711,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,,,
s0q19y,Year of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,145711,25271,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household / farm (agriculture, livestock)",0,0,0,25271,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,"household / farm (agriculture, livestock)",0,0,0,0,118099,0,,"poverty (EICV3, EICV4_CS)",,
s7eq5,Portion of the harvest sold,int8,"1=Yes, regularly all, 2=Yes, regularly part of it, 3=Yes, ocasionally all, 4=Yes, ocasionally part of it, 5=Never",5,"household / farm (agriculture, livestock)",0,0,0,0,118099,13913,,"s7eq5_v2 (EICV4_CS, EICV4_VUP)",,
s7eq6a,Quantity of smal scale crops sold,double,,0,"household / farm (agriculture, livestock)",0,0,0,0,18587,2310,,"s7eq6a_v2 (EICV4_CS, EICV4_VUP)",,
s7eq8,Amount received for entire havest sold over last 12 months,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,118099,13913,,"s7eq8_v2 (EICV4_CS, EICV4_VUP)",,
s7eq9,Havest consumed over last 12 months,int8,"1=Yes, always, 2=Yes, Often, 3=No",3,"household / farm (agriculture, livestock)",0,0,0,0,118099,13913,,"s7eq9_v2 (EICV4_CS, EICV4_VUP)",,
s7eq10a,Quantity of small scale crop consumed over last 7 days,double,,0,"household / farm (agriculture, livestock)",0,0,0,0,113403,13185,,,,
s7eq10b,Unit of time,int8,"1=Day, 2=Week",2,"household / farm (agriculture, livestock)",0,0,0,0,32996,3642,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,14136,,,,
s7eq1,Engaded in any piecemeal agricultural production over the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,14136,,,,
s0q18m,Month of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,14136,,,,
s0q18y,Year of interview,int16,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,14136,,,,
