# SAS checks report

Generated by 03_checks.py.

## A. Pooled crop-production file vs the per-wave cleaned files

| section | statistic | Python | reference | result |
| B | 2017_B sum production (kg) | 74,205,974 | 74,205,974 | PASS |
| B | 2017_B median plot area (m2) | 752 | 752 | PASS |
| B | 2017_C rows | 1,907 | 1,907 | PASS |
| B | 2017_C rows with weight | 1,907 | 1,907 | PASS |
| B | 2017_C sum wt | 479,438 | 479,438 | PASS |
| B | 2017_C sum production (kg) | 733,572 | 733,572 | PASS |
| B | 2017_C median plot area (m2) | 360 | 360 | PASS |
| B | 2018_A rows | 18,255 | 18,255 | PASS |
| B | 2018_A rows with weight | 16,909 | 16,909 | PASS |
| B | 2018_A sum wt | 11,303,775 | 11,303,775 | PASS |
| B | 2018_A sum production (kg) | 72,665,594 | 72,665,594 | PASS |
| B | 2018_A median plot area (m2) | 751 | 751 | PASS |
| B | 2018_B rows | 19,576 | 19,576 | PASS |
| B | 2018_B rows with weight | 18,133 | 18,133 | PASS |
| B | 2018_B sum wt | 11,323,146 | 11,323,146 | PASS |
| B | 2018_B sum production (kg) | 73,673,963 | 73,673,963 | PASS |
| B | 2018_B median plot area (m2) | 884 | 884 | PASS |
| B | 2018_C rows | 1,462 | 1,462 | PASS |
| B | 2018_C rows with weight | 1,461 | 1,461 | PASS |
| B | 2018_C sum wt | 349,501 | 349,501 | PASS |
| B | 2018_C sum production (kg) | 607,798 | 607,798 | PASS |
| B | 2018_C median plot area (m2) | 337 | 337 | PASS |
| B | 2019_A rows | 32,906 | 32,906 | PASS |
| B | 2019_A rows with weight | 32,906 | 32,906 | PASS |
| B | 2019_A sum wt | 15,330,507 | 15,330,507 | PASS |
| B | 2019_A sum production (kg) | 84,025,314 | 84,025,314 | PASS |
| B | 2019_A median plot area (m2) | 1,252 | 1,252 | PASS |
| B | 2019_B rows | 30,493 | 30,493 | PASS |
| B | 2019_B rows with weight | 30,493 | 30,493 | PASS |
| B | 2019_B sum wt | 14,735,773 | 14,735,773 | PASS |
| B | 2019_B sum production (kg) | 89,290,996 | 89,290,996 | PASS |
| B | 2019_B median plot area (m2) | 1,258 | 1,258 | PASS |
| B | 2019_C rows | 1,667 | 1,667 | PASS |
| B | 2019_C rows with weight | 1,667 | 1,667 | PASS |
| B | 2019_C sum wt | 364,385 | 364,385 | PASS |
| B | 2019_C sum production (kg) | 574,407 | 574,407 | PASS |
| B | 2019_C median plot area (m2) | 538 | 538 | PASS |
| B | 2020_A rows | 41,313 | 41,313 | PASS |
| B | 2020_A rows with weight | 41,313 | 41,313 | PASS |
| B | 2020_A sum wt | 30,775,512 | 30,775,512 | PASS |
| B | 2020_A sum production (kg) | 96,987,056 | 96,987,056 | PASS |
| B | 2020_A median plot area (m2) | 1,228 | 1,228 | PASS |
| B | 2020_B rows | 35,773 | 35,773 | PASS |
| B | 2020_B rows with weight | 35,695 | 35,695 | PASS |
| B | 2020_B sum wt | 26,058,302 | 26,058,302 | PASS |
| B | 2020_B sum production (kg) | 93,538,342 | 93,538,342 | PASS |
