23:55:01 03_checks INFO ==== 03_checks | run 20260904-235501 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
23:55:04 03_checks INFO 
# SAS checks report

Generated by 03_checks.py.

## A. Pooled plot x crop file by wave

| section | statistic | Python | reference | result |
| B | 2023_C sum production (kg) | 2,654,626 | 2,654,626 | PASS |
| B | 2024_A rows | 39,330 | 39,330 | PASS |
| B | 2024_A rows with weight | 39,330 | 39,330 | PASS |
| B | 2024_A sum wt | 35,243,844 | 35,243,844 | PASS |
| B | 2024_A sum production (kg) | 126,956,524 | 126,956,524 | PASS |
| B | 2024_B rows | 35,584 | 35,584 | PASS |
| B | 2024_B rows with weight | 35,584 | 35,584 | PASS |
| B | 2024_B sum wt | 30,534,218 | 30,534,218 | PASS |
| B | 2024_B sum production (kg) | 110,098,530 | 110,098,530 | PASS |
| B | 2024_C rows | 1,949 | 1,949 | PASS |
| B | 2024_C rows with weight | 1,949 | 1,949 | PASS |
| B | 2024_C sum wt | 704,473 | 704,473 | PASS |
| B | 2024_C sum production (kg) | 1,001,630 | 1,001,630 | PASS |
| B | 2025_A rows | 34,369 | 34,369 | PASS |
| B | 2025_A rows with weight | 34,369 | 34,369 | PASS |
| B | 2025_A sum wt | 36,857,604 | 36,857,604 | PASS |
| B | 2025_A sum production (kg) | 123,858,221 | 123,858,221 | PASS |
| B | 2025_B rows | 32,920 | 32,920 | PASS |
| B | 2025_B rows with weight | 32,920 | 32,920 | PASS |
| B | 2025_B sum wt | 35,529,455 | 35,529,455 | PASS |
| B | 2025_B sum production (kg) | 105,925,129 | 105,925,129 | PASS |
| B | 2025_C rows | 1,884 | 1,884 | PASS |
| B | 2025_C rows with weight | 1,884 | 1,884 | PASS |
| B | 2025_C sum wt | 891,581 | 891,581 | PASS |
| B | 2025_C sum production (kg) | 851,639 | 851,639 | PASS |

## C. Internal consistency

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| C | rows with crop area > plot area (+5%) [count, informational] | 32,193 |  | n/a |
| C | rows with negative production | 0 | 0 | PASS |

**All checks passed.**
23:55:04 03_checks INFO 03_checks done
23:55:04 04_codebook INFO ==== 04_codebook | run 20260904-235501 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
23:55:49 04_codebook INFO wrote CODEBOOK.md and codebook_*.csv for 24 files
23:55:49 04_codebook INFO README.txt updated (/Users/matteo/Library/CloudStorage/Dropbox/1-Ongoing Projects/Rwanda - TRS/data/Publicly-Available-NISR/Season-Agriculture-Survey-SAS/README.txt)
