scope,wave,native,clean_name,clean_label,native_label
pooled:CFSVA_pooled_household.dta,2006,s117,cfsva_none_household_f,CFSVA 2006: If none of your household members participated in any cash f,If none of your household members participated in any cash f
pooled:CFSVA_pooled_household.dta,2006,s118,cfsva_hh_participated_food,CFSVA 2006: Has any member of your household participated in any food,"Has any member of your household participated in any food,,"
pooled:CFSVA_pooled_household.dta,2018,s11_01,cfsva_specific_months_hh_fou,CFSVA 2018: Were there any specific months in which your household fou,In the last 12 months were there any specific months in which your household fou
pooled:CFSVA_pooled_household.dta,2018,s11_01_2,cfsva_mo_hh_found_not_enough,"CFSVA 2018: If yes, in which months did your household found it does not have","If yes, in which months did your household found it does not have enough food or"
pooled:CFSVA_pooled_household.dta,2018,s11_01_3,cfsva_situation_hh_time_s11013,CFSVA 2018: Was this situation usual for your household at that time of the year,Was this situation usual for your household at that time of the year?
pooled:CFSVA_pooled_household.dta,"2015,2018",s11_02,cfsva_hh_faced_2015_2018,CFSVA 2015-2018: Household faced challenging shocks during the last 12 months,Household faced challenging shocks during the last 12 months
pooled:CFSVA_pooled_household.dta,2024,s11_02_v2,cfsva_household_benefit_ki_2024,CFSVA 2024: Or one (or more) of its members benefit from any in ki,S11_02 Did your household or one (or more) of its members benefit from any in ki
pooled:CFSVA_pooled_household.dta,2021,s11_02_v3,cfsva_social_protection_2021,CFSVA 2021: Kind of social protection program or support have you received from,What kind of social protection program or support have you received from the gov
pooled:CFSVA_pooled_household.dta,2021,s11_02_0,cfsva_other_assistance,CFSVA 2021: Other assistance,Other assistance
pooled:CFSVA_pooled_household.dta,2021,s11_02_smt_0,cfsva_none_smt_0_s1102smt0,CFSVA 2021: None,None
pooled:CFSVA_pooled_household.dta,2021,s11_02_smt_1,cfsva_cash_assistance,CFSVA 2021: Cash assistance,Cash assistance
pooled:CFSVA_pooled_household.dta,2021,s11_02_smt_2,cfsva_food_assistance,CFSVA 2021: Food assistance,Food assistance
pooled:CFSVA_pooled_household.dta,2021,s11_02_smt_3,cfsva_not_needed,CFSVA 2021: Not needed,Not needed
pooled:CFSVA_pooled_household.dta,2021,s11_02_smt_4,cfsva_others_smt_4,CFSVA 2021: Others,Others
pooled:CFSVA_pooled_household.dta,2024,s11_03,cfsva_food_assistance_2024,CFSVA 2024: What type of FOOD assistance was provided?,S11_03 What type of FOOD assistance was provided?
pooled:CFSVA_pooled_household.dta,2021,s11_03_v2,cfsva_hh_benefit_food_2021,CFSVA 2021: Or one (or more) of its members benefit from any in kind FOOD,Did your household or one (or more) of its members benefit from any in kind FOOD
pooled:CFSVA_pooled_household.dta,2024,s11_03_1_1,cfsva_days_food_assistance_1_1,CFSVA 2024: The number of days the food assistance received would,S11_03_1_1 Please indicate the number of days the food assistance received would
pooled:CFSVA_pooled_household.dta,2024,s11_03_smt_1,cfsva_food_school_smt_1,CFSVA 2024: Food for school children (eaten at school or take-home),S11_03/Food for school children (eaten at school or take-home)
pooled:CFSVA_pooled_household.dta,2024,s11_03_smt_2,cfsva_food_pregnant_women_small,CFSVA 2024: Food for pregnant and breastfeeding women and small children (MCHN),S11_03/Food for pregnant and breastfeeding women and small children (MCHN)
pooled:CFSVA_pooled_household.dta,2024,s11_03_smt_3,cfsva_food_work_smt_3,CFSVA 2024: Food for work,S11_03/Food for work
pooled:CFSVA_pooled_household.dta,2024,s11_03_smt_4,cfsva_food_training_smt_4,CFSVA 2024: Food for training,S11_03/Food for training
pooled:CFSVA_pooled_household.dta,2024,s11_03_smt_5,cfsva_free_food_smt_5,CFSVA 2024: Free food distributions,S11_03/Free food distributions
pooled:CFSVA_pooled_household.dta,2024,s11_03_smt_6,cfsva_food_assistance_smt_6,CFSVA 2024: Other food assistance programs,S11_03/Other food assistance programs
pooled:CFSVA_pooled_household.dta,2021,s11_04,cfsva_food_assistance_04,CFSVA 2021: What type of FOOD assistance was provided?,What type of FOOD assistance was provided?
pooled:CFSVA_pooled_household.dta,2021,s11_04_1,cfsva_types_food_assistance,CFSVA 2021: What any other types food assistance provided which is not in the,Please specify what any other types food assistance provided which is not in the
pooled:CFSVA_pooled_household.dta,2021,s11_04_1_1,cfsva_number_days_feed_f,CFSVA 2021: The number of days the food assistance received would feed the f,Please indicate the number of days the food assistance received would feed the f
pooled:CFSVA_pooled_household.dta,2021,s11_04_smt_1,cfsva_food_school_smt_s1104smt1,CFSVA 2021: Food for school children (eaten at school or take-home),Food for school children (eaten at school or take-home)
pooled:CFSVA_pooled_household.dta,2021,s11_04_smt_2,cfsva_food_pregnant_s1104smt2,CFSVA 2021: Food for pregnant and breastfeeding women and small children (MCHN),Food for pregnant and breastfeeding women and small children (MCHN)
pooled:CFSVA_pooled_household.dta,2021,s11_04_smt_3,cfsva_food_work_smt_3_s1104smt3,CFSVA 2021: Food for work,Food for work
