variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
s14_02,Primary Caregiver of Child,int8,"1=Mother, 2=Father, 3=Grandmother, 4=Close family relative, 5=Other relationship …",6,0,0,0,1,6736,0,0,,,2015: Child name,
s14_02_2,Primary Caregiver of Child,int8,"1= Mother, 2= Father, 3=Grandmother, 4= Close family relative, 5= Other relationship …",6,0,0,0,4058,0,0,0,,,,
s14_02_3,Respondent's relationship with child?,int8,"1= Mother, 2= Father, 3=Grandmother, 4= Close family relative, 5= Other relationship …",6,0,0,0,4058,0,0,0,,,,
s14_02_4,Child's mother id (from previous section),int8,"1= Woman 1, 2= Woman 2, 3= Woman 3, 4= Woman 4, 5= Woman 5 …",8,0,0,0,4058,0,0,0,,,,
s14_02_5,Does [child name] has birth card for proper  DOB and other information recording,int8,"0=No, 1=Yes",2,0,0,0,4058,0,0,0,,,,
s14_02_6,Child date of birth,double,,0,0,0,0,4058,0,0,0,,,,
s14_02_7,Child age in months,double,,0,0,0,0,4058,0,0,0,,,,
s14_02_8,Child sex,int8,"1=Male, 2=Female",2,0,0,0,4058,0,0,0,,,,
s14_03_v2,"[2015..2015 version] Since born, was [child name] ever breastfeed?",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4058,0,0,0,,s14_03 (2018),,
s14_03_2,How many hours after birth did you first put [child name] on breast?,int8,,0,0,0,0,3943,0,0,0,,,,
s14_03_3,How many days after the birth did you first put [child name] on breast?,int16,,0,0,0,0,89,0,0,0,,,,
s14_03_4,"In the first six month [child name] was born, was s/he given drinks or foods oth",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4058,0,0,0,,,,
s14_03_5,Are you still breastfeeding [child name]?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,3943,0,0,0,,,,
birthweight_cat,,int8,"1=Low birthweight (<2500g), 2= Normal or high birthweight (>2500g)",2,0,0,0,3729,0,0,0,,,,
s14_03_6,"When born, how big in Kg was [child name]?",double,,0,0,0,0,3729,0,0,0,,,,
as14_04,Did [child name] ever receive vitamin A drops?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4058,0,0,0,,,,
s14_05_v2,[2015..2015 version] Was [child name] ill during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4058,0,0,0,,s14_05 (2018),,
s14_05_2,Has [child name] had illness with fever during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4056,0,0,0,,,,
s14_05_3,Has [child name] had illness with cough during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4056,0,0,0,,,,
s14_05_4,Has [child name] had illness with diarrhoea during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4056,0,0,0,,,,
s14_05_5,"During last two weeks when [child name] was sick, did s/he see any healthcare pr",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1619,0,0,0,,,,
s14_05_6,"During last six months, did [child name] receive deworming tablets?",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4058,0,0,0,,,,
s14_06_v2,[2015..2015 version] Does [child name] feed him/herself?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,4058,0,0,0,,s14_06 (2018),,
s14_06_2,"If yes, does [child name] use his/her hand or utensils for feeding?",int8,"1= Hands, 2= Utensils",2,0,0,0,2926,0,0,0,,,,
s14_06_3,Does [child name] have his/her hands washed before eating/meal,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,872,0,0,0,,,,
s14_06_4,If the [child name] does not feed him/herself  do the person who feed him wash h,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1128,0,0,0,,,,
s14_07_v2,"[2015..2015 version] Yesterday, during day or night was [child name] breastfe",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1227,0,0,0,,s14_07 (2018),,
s14_07_2,Infant formula,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1371,0,0,0,,,,
s14_07_2_2,How many times did [child name] consume Infant formula,int8,,0,0,0,0,112,0,0,0,,,,
s14_07_3,"Milk (tinned, powdered, fresh",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1372,0,0,0,,,,
s14_07_3_2,"How many times did [child name] consume Milk (tinned, powdered, fresh",int8,,0,0,0,0,167,0,0,0,,,,
s14_07_4,Yogurt,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1371,0,0,0,,,,
s14_07_4_2,How many times did [child name] consume Yogurt,int8,,0,0,0,0,17,0,0,0,,,,
s14_07_5,Thin porridge,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1372,0,0,0,,,,
s14_07_5_2,How many times did [child name] consume Thin porridge,int8,,0,0,0,0,448,0,0,0,,,,
s14_07_6,CSB++,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1356,0,0,0,,,,
s14_07_6_2,How many times did [child name] consume CSB++,int8,,0,0,0,0,170,0,0,0,,,,
s14_08_v2,[2015..2015 version] Did [child name] start eating any solid/Semi-solid food?,int8,"0=No, 1=Yes",2,0,0,0,1372,0,0,0,,s14_08 (2018),,
as14_08,"Porridge, bread, rice, noodles, or other foods made from grains (maize, millet,",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
bs14_08,"Pumpkin, carrots, squash, or sweet potatoes that are yellow or orange inside",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
cs14_08,"White potatoes, white yams, manioc, cassava, plantains, green banana, yam, or an",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
ds14_08,"Any dark green leafy vegetables (broccoli, cassava greens, lettuce dark green, p",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
es14_08,"Ripe mangoes, ripe papayas, or passion fruit, tree tomato, apricot",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
fs14_08,Any other fruits or vegetables,int8,,0,0,0,0,1229,0,0,0,,,,
gs14_08,"Liver, kidney, heart, or other organ meats",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
hs14_08,"Any meat, such as beef, pork, lamb, goat, chicken, or duck, rabbit",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
is14_08,Eggs,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
js14_08,"Fresh or dried fish, shellfish, or seafood",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
ks14_08,"Any foods made from beans, peas, lentils, nuts or seeds",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
ls14_08,"Cheese, yogurt, or other milk products",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1228,0,0,0,,,,
ms14_08,"Foods made with red palm oil, red palm nut, or red palm nut pulp sauce",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
ns14_08,Super Cereal Plus / CSB++,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
os14_08,Micronutrient Powders (MNPs),int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1229,0,0,0,,,,
s14_08_2,PLEASE WRITE DOWN OTHER FOODS OR LIQUIDS IN THIS BOX THAT RESPONDENT MENTIONED B,double,,0,0,0,0,399,0,0,0,,,,
s14_09_v2,"[2015..2015 version] Yesteday, during day or night how many times did [child",int8,,0,0,0,0,1201,0,0,0,,s14_09 (2018),,
s14_10_v2,[2015..2015 version] Is [child name] enrolled in any  supplementary feeding p,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,1372,0,0,0,,s14_10 (2018),,
s14_10_2,"If any, which supplementary feeding programme?",int8,"1=(non-hospitalized) Therapeutic feeding, 2=(hospitalized, inpatient) Therapeutic feeding, 3=Supplementary feeding",3,0,0,0,114,0,0,0,,,,
s14_12_2,Child weight in kg,double,,0,0,0,0,4053,0,0,0,,,,
s14_12_3,Does [child name] present any disability preventing him or her from being measur,int8,"0=No, 1=Yes",2,0,0,0,4058,0,0,0,,,,
s14_12_4,Child length/height,double,,0,0,0,0,4037,0,0,0,,,,
s14_12_5,How was [child name] measured?,int8,"1=Lying, 2=Standing",2,0,0,0,4039,0,0,0,,,,
s14_12_6,Child's MUAC,int16,,0,0,0,0,4057,0,0,0,,,,
muac_groups,,int8,"1=Severe acute malnutrition (<115mm), 2=Moderate acute malnutrition (115mm – 125mm), 3=Normal nutritional status (>125mm)",3,0,0,0,4058,0,0,0,,,,
waznchs,Weight for Age Z-Score [NCHS],double,,0,0,0,0,3810,0,0,0,,,,
haznchs,Height for Age Z-Score [NCHS],double,,0,0,0,0,3810,0,0,0,,,,
whznchs,Weigt for Height Z-Score [NCHS],double,,0,0,0,0,3810,0,0,0,,,,
wazwho,Weight for Age Z-Score [WHO],double,,0,0,0,0,3810,0,0,0,,wazwho_v2 (2012),,
hazwho,Height for Age Z-Score [WHO],double,,0,0,0,0,3810,0,0,0,,hazwho_v2 (2012),,
bmizwho,Body Mass Index Z-Score [WHO],double,,0,0,0,0,3810,0,0,0,,,,
wamnchs,,double,,0,0,0,0,3810,0,0,0,,,,
hamnchs,,double,,0,0,0,0,3810,0,0,0,,,,
whmnchs,,double,,0,0,0,0,3810,0,0,0,,,,
muacz_age,MUACZ_age,double,,0,0,0,0,3810,5909,0,0,,,,
height_age_who,Height_Age_WHO,double,,0,0,0,0,3810,5910,0,0,,,,
muacz_ht,MUACZ_Ht,double,,0,0,0,0,3783,5855,0,0,,,,
mad001,"Grains, Roots, and Tubers",int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad002,Legumes and Nuts,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad003,Dairy Products,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad004,Flesh Foods,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad005,Eggs,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad006,Vitamin-A Rich Fruits and Vegetables,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad007,Other Fruits and Vegetables,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad008,Fortified Foods,int8,"0=Not consummed, 1=Consummed",2,0,0,0,1372,0,0,0,,,,
mad009,Food Group Score,int8,,0,0,0,0,1372,0,0,0,,,,
mad010,Number of Milk Feeds for Non-Breastfed Children,int8,,0,0,0,0,169,0,0,0,,,,
mad011,Diet Diversity Score,int8,"0=No, 1=Yes",2,0,0,0,1372,0,0,0,,,,
mad012,Minimum Meal Frequency Score,int8,"0=No, 1=Yes",2,0,0,0,1372,0,0,0,,,,
mad013,Minimum Acceptable Diet Score,int8,"0=No, 1=Yes",2,0,0,0,1372,0,0,0,,,,
s14_11_v2,[2015..2015 version] Does [child name] present billateral pitting (edema)?,int8,"0=No, 1=Yes",2,0,0,0,4058,0,0,0,,s14_11 (2018),,
whzwho,Weigt for Height Z-Score [WHO],double,,0,0,0,0,3810,0,0,0,,whzwho_v2 (2012),,
age_class,Child age classes,int8,"1=Under 2 years old, 2=2 years old and above",2,0,0,0,4058,0,0,0,,,,
s2_10,What is the current main source of water that your household use?,int8,"1= Public tap/ piped water, 2= Water tap at home, 3= Pond, lake, river or stream, 4= Borehole with pump, 5= Rain water …",9,0,0,0,4058,0,0,0,,,,
s2_07,What kind of toilet facility does your household use here in your household?,int8,"1= Flush latrine, 2= Pit latrine (floor, walls and roof), 3= Pit latrine (floor, walls without roof), 4= Pit latrine (floor, without walls and roof), 5= Pit latrine (no floor, walls or roof …",6,0,0,0,4058,0,0,0,,,,
s2_07_2,"If your household does not have its own toilet facility, then what do you use?",int8,"1=Borrow from neighbors,, 2=Public latrines in the village,, 3=Bush or stream or other inappropriate places",3,0,0,0,165,0,0,0,,,,
s2_07_3,Do you share the toilet facility with other households?,int8,"0=No, 1=Yes",2,0,0,0,3893,0,0,0,,,,
s2_13,"On average, how many liters of water does your household use per day? (make your",int16,,0,0,0,0,4054,0,0,0,,,,
water_source_treatment,,int8,"1=Improved water, boiled or ceramic treatment, 2=Improved water, treated with chlorine, 3=Improved water, untreated, 4=Unimproved water, boiled or ceramic treatment, 5=Unimproved water, treated with chlorine …",6,0,0,0,4042,0,0,0,,,,
feeding_hygiene,,int8,"0=fed with unwashed hands, 1=fed with washed hands or utensils, 88=do not know",3,0,0,0,4058,0,0,0,,,,
child_overweight,,int8,,0,0,0,0,4058,0,0,0,,,,
mhn_key,Mother unique ID,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
s13_02_2,Age of mother,int8,,0,0,0,0,3645,0,0,0,,,,
s13_02_3,Mother know how to read and write?,int8,"0= No, 1= Yes both read and write, 2= Yes (read only)",3,0,0,0,3645,0,0,0,,,,
s13_02_4,What is the level of education of the woman,int8,"1= No school, 2= Some/still primary, 3= Completed primary, 4= Vocational school, 5= Some/still secondary …",8,0,0,0,3645,0,0,0,,,,
as13_05,Before preparing meals?,int8,"0=No, 1=Yes",2,0,0,0,3645,0,0,0,,,,
bs13_05,After cleaning a child from toilet?,int8,"0=No, 1=Yes",2,0,0,0,3645,0,0,0,,,,
cs13_05,Before eating?,int8,"0=No, 1=Yes",2,0,0,0,3645,0,0,0,,,,
ds13_05,Whenever their dirty?,int8,"0=No, 1=Yes",2,0,0,0,3645,0,0,0,,,,
es13_05,After visiting toilet?,int8,"0=No, 1=Yes",2,0,0,0,3645,0,0,0,,,,
s13_05_2_v2,[2015..2015 version] What do you use to wash your hands after visiting toilet,int8,"1=Water only, 2=Water and homemade soap, 3=Water and washing soap, 4=Other",4,0,0,0,3628,0,0,0,,s13_05_2 (2018),,
s13_06_v3,[2015..2015 version] Does the woman presen any disability the prevents her fr,int8,"0=No, 1=Yes, Affecting MUAC, 2=Yes, Affecting Weight and height",3,0,0,0,3644,0,0,0,,"s13_06 (2021, 2024), s13_06_v2 (2018)",,
s13_06_2,Mothers MUAC in mm,int16,,0,0,0,0,3611,0,0,0,,,,
s13_06_3,Mothers height in Cm,int16,,0,0,0,0,3600,0,0,0,,,,
s13_06_4,Mothers weight in Cm,int16,,0,0,0,0,3602,0,0,0,,,,
bmi,Mothers Body mass index,double,,0,0,0,0,3285,0,0,0,,,,
bmic,Mothers Body mass index (grouped),int8,"1=Severe Thinness (< 16), 2=Moderate Thinness (16 - 17), 3=Mild Thinness (17 - 18.5), 4=Normal (18.5 - 25), 5=Overweight (25 - 30) …",8,0,0,0,3281,0,0,0,,,,
stunted_women,Mother stunted,int8,"0=Non-stunted, 1=Stunted",2,0,0,0,3285,0,0,0,,,,
underweight_women,Mother underweight,int8,"0=Non-underweight, 1=Underweight",2,0,0,0,3287,0,0,0,,,,
education_groups,Mother's eduction,int8,"1=No school, 2=Some primary, 3=Completed primary and or vocational training, 4=Some secondary and above",4,0,0,0,3645,0,0,0,,,,
v_s2_01,How many households does this village have?,int16,,0,0,0,0,4038,0,0,0,,,,
v_s2_02,How would you qualify this village ? (chose one option),int8,"1=Rural, 2=Urban organized, 3=Urban slum",3,0,0,0,4052,0,0,0,,,,
v_s2_03_1,VUP (schemes applied in the village),int8,,0,0,0,0,4052,0,0,0,,,,
v_s2_03_2,Land consolidation (schemes applied in the village),int8,,0,0,0,0,4052,0,0,0,,,,
v_s2_03_3,IDP model village (schemes applied in the village),int8,,0,0,0,0,4052,0,0,0,,,,
v_s2_03_4,Structured umudugudu (schemes applied in the village),int8,,0,0,0,0,4052,0,0,0,,,,
v_s2_03_5,"Other, specify (schemes applied in the village)",int8,,0,0,0,0,4052,0,0,0,,,,
v_s2_03_88,None (schemes applied in the village),int8,,0,0,0,0,4052,0,0,0,,,,
v_s3_01,What percentage of households in this village have access to electricity?,int8,,0,0,0,0,4052,0,0,0,,,,
v_s3_02,Is there any functioning primary school in this village?,int8,"0=No, 1=Yes",2,0,0,0,4052,0,0,0,,,,
v_s3_02_2,"If not, then how far away on average is the nearest functioning primary school?",int16,,0,0,0,0,3154,0,0,0,,,,
v_s3_03,Is there a functioning health facility in the village?,int8,"0=No, 1=Yes",2,0,0,0,4052,0,0,0,,,,
v_s3_03_2,"If not, then how far away on average is the nearest functioning health facility?",int16,,0,0,0,0,3776,0,0,0,,,,
v_s4_01,Is there a market in this village?,int8,"0=No, 1=Yes",2,0,0,0,4052,0,0,0,,,,
v_s4_02_2,Is this the main market your community mostly interacts with?,int8,"0=No, 1=Yes",2,0,0,0,234,0,0,0,,,,
v_s4_02_3,"If this is not the main market for the village or there is no market at all, how",int16,,0,0,0,0,3833,0,0,0,,,,
v_s4_02_4,Is the road to the main market for your community accessible all year round usin,int8,"0=Yes, 1=No",2,0,0,0,4052,0,0,0,,,,
health_facility_distance,,int8,"1=health facility in village, 2=less than 60 min, 3=60-120 min, 4=more than 120 min",4,0,0,0,4052,0,0,0,,,,
market_distance,,int8,"1=market in village, 2=less than 60 min, 3=60-120 min, 4=more than 120 min",4,0,0,0,4052,0,0,0,,,,
health_less_60min,,int8,"1=health facility available in less than 60 min, 2=health facility available in more than 60 min",2,0,0,0,4052,0,0,0,,,,
market_less_60min,,int8,"1=market available in less than 60 min, 2=market available in more than 60 min",2,0,0,0,4052,0,0,0,,,,
s12_01,Can you tell me the old ubudehe category of your household?,int8,"0=[0] Don't know, 1=[1] Umutindi nyakujya (Those in abject poverty), 2=[2] Umutindi (the very poor), 3=[3] Umukene (the poor), 4=[4] Umukene wifashije (the resourceful poor) …",7,0,0,0,4058,0,0,0,,,,
s12_02,Can you tell me the new ubudehe category of your household?,int8,"0=[0] Don't know, 1=[1] Category one, 2=[2] Category two, 3=[3] Category three, 4=[4] Category four",5,0,0,0,4058,0,0,0,,,,
road_distance,Village distance to road,int8,"1=less than 2km, 2=2-5km, 3=5-10km, 4=more than 10km",4,0,0,0,4058,0,0,0,,,,
road_distance_less_5,,int8,"0=no, 1=yes",2,0,0,0,3998,0,0,0,,,,
filter__,S0_C_Prov  > 1 and Urban >1 (FILTER),int8,"0=Not Selected, 1=Selected",2,0,0,0,4058,0,0,0,,filter___v2 (2012),,
woman_key,Child mother unique identification,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
child_key,Chid unique identification,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
all_sample,Rwanda,int8,1=Rwanda,1,0,0,0,0,6736,0,0,,,,
ubudehe,Household ubudehe category,int8,"0=[0] Don't know, 1=[1] Category one, 2=[2] Category two, 3=[3] Category three, 4=[4] Category four …",6,0,0,0,0,6736,0,0,,,,
s0_e_livezone,Livelihood zones,int8,"0=Kigali city, 1=Lake Kivu Coffee Zone, 2=West Congo-Nile Crest Tea Zone, 3=Northwest Volcanic Irish Potato Zone, 4=East Congo-Nile Highland Subsistence Farming Zone …",13,0,0,0,0,6736,0,0,,,,
livelihood_group,Household livelihood group,int8,"1=Low-income agriculturalists, 2=Agro-pastoralists, 3=Agricultural daily labour, 4=Unskilled daily labour, 5=Skilled labour …",10,0,0,0,0,6736,0,0,,,,
hhsize_cat,Household size (category),int8,"1=1 member, 2=2-4 members, 3=5-7 members, 4=8-10 members, 5=>10 members",5,0,0,0,0,6736,0,0,,,,
s1_01_3,Household head's gender,int8,"1=Male, 2=Female",2,0,0,0,0,6736,0,0,,,,
age_headhh,Household head's age (category),int8,"2=18-39 years old, 3=40-60 years old, 4=>60 years old",3,0,0,0,0,6736,0,0,,,,
s1_01_4,Household head's age,int8,,0,0,0,0,0,6736,0,0,,,,
vhhsize,Village N HHs,int16,,0,0,0,0,0,6736,0,0,,,,
vsamplesize,Village Sample Size,int8,,0,0,0,0,0,6736,0,0,,,,
totdisthhs,District weight,double,,0,0,0,0,0,6736,0,0,,,,
s1_01,Household size,int8,,0,0,0,0,0,6736,0,0,,,,
s14_01,Child index from demograpy section,int8,,0,0,0,0,0,6736,0,0,,s14_01_v2 (2015),,
s14_01_3,Child date of birth,double,,0,0,0,0,0,6736,0,0,,,,
s14_01_4,Child age in months,double,,0,0,0,0,0,6736,0,0,,,,
s14_01_4_cat,Child age group,int8,"1=Exclude (<6m), 2=Include (6-60m)",2,0,0,0,0,6736,0,0,,,,
s14_01_5,Child sex,int8,"1=Male, 2=Female",2,0,0,0,0,6736,0,0,,,,
s14_03,Respondent's relationship with child?,int8,"1=Mother, 2=Father, 3=Grandmother, 4=Close family relative, 5=Other relationship …",6,0,0,0,0,6736,0,0,,s14_03_v2 (2015),,
s14_04,Child's mother,int8,"1=${S1C20}, 2=${S1C21}, 3=${S1C22}, 4=${S1C23}, 5=${S1C24} …",32,0,0,0,0,6736,0,0,,,,
s14_05,Is [child name] currently present for interview and anthropometric measurement?,int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,s14_05_v2 (2015),,
s14_06,"When born, how big in Kg was [child name], refer to the child growth card?",double,,0,0,0,0,0,5882,0,0,,s14_06_v2 (2015),,
s14_07,"Since September 2017 (last 6 months), has [NAME] received vit A drops? (show the",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5948,0,0,,s14_07_v2 (2015),,
s14_08,"During last six months, did [child name] receive deworming tablets?",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5303,0,0,,s14_08_v2 (2015),,
s14_09,Has [child name] had illness with fever during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5948,0,0,,s14_09_v2 (2015),,
s14_10,Has [child name] had illness with cough during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5948,0,0,,s14_10_v2 (2015),,
s14_11,Has [child name] had illness with diarrhea during last two weeks?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5948,0,0,,s14_11_v2 (2015),,
s14_11_2,"During the last 2 weeks when [child name] had diarrhea, how did you treat it?",int8,"1=Was given more drinks, 2=Was given more food, 3=Was frequently breastfed, 4=Was given clean safe drinking water, 5=Was given RUTF …",9,0,0,0,0,869,0,0,,,,
s14_11_2_smt_1,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_2,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_3,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_4,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_5,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_6,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_7,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_8,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (W",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_smt_88,"During the last 2 weeks when [child name] had diarrhea, how did you treat it? (N",int8,"0=No, 1=Yes",2,0,0,0,0,6736,0,0,,,,
s14_11_2_2,Please specify what other treatment were,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
s14_12,"During last two weeks when [child name] was sick, did s/he see any healthcare pr",int8,"0=None, 1=Staff at health facility, 2=Community health care worker, 3=Traditional",4,0,0,0,0,4246,0,0,,,,
s14_13,Does [child name] have his/her hands washed before eating/meal,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5948,0,0,,,,
s14_14,Did [child name] sleep under a mosquito net last night?,int8,"0=No, 1=Yes",2,0,0,0,0,5948,0,0,,,,
as14_15,Was [child name] breastfed yesterday during day or at night?,int8,"0=No, 1=Yes",2,0,0,0,0,2569,0,0,,,,
as14_15_2,Has [child name]ever been breastfed?,int8,"0=No, 1=Yes",2,0,0,0,0,187,0,0,,,,
as14_15_3,How long after birth did you first put [child name]to the breast after birth?,int8,"1=Less than 1 hour, 2=Between 1 -23 hours, 3=24 hours or more, 4=Don't remember",4,0,0,0,0,2563,0,0,,,,
bs14_15,"Yesterday, during the day or night, did [child name] drink Plain water",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2561,0,0,,,,
cs14_15,"Yesterday, during the day or night, did [child name] drink any drinks made with",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2568,0,0,,,,
cs14_15_2,How many times did [child name] consume this Infant formula,int8,,0,0,0,0,0,39,0,0,,,,
ds14_15,"Yesterday, during the day or night, did [child name] consume Milk (tinned, powde",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2568,0,0,,,,
ds14_15_2,"How many times did [child name] consume Milk (tinned, powdered, fresh",int8,,0,0,0,0,0,366,0,0,,,,
es14_15,"Yesterday, during the day or night, did [child name] dr",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2569,0,0,,,,
fs14_15,"Yesterday, during the day or night, did [child name] drink any clear broth",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2569,0,0,,,,
gs14_15,"Yesterday, during the day or night, did [child name] drink any sour milk or yogu",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2566,0,0,,,,
gs14_15_2,How many times did [child name] consume Yogurt,int8,,0,0,0,0,0,68,0,0,,,,
hs14_15,"Yesterday, during the day or night, did [child name] drink any fortified blended",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2569,0,0,,,,
hs14_15_2,How many times did [child name] consume FBF (shisha kibondo)?,int8,,0,0,0,0,0,231,0,0,,,,
is14_15,"Yesterday, during the day or night, did [child name] drink any other FBF (Sosoma",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2569,0,0,,,,
js14_15,"Yesterday, during the day or night, did [child name] drink any thin porridge, fo",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2569,0,0,,,,
ks14_15,"Yesterday, during the day or night, did [child name] drinkTea or coffee with mil",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2567,0,0,,,,
ls14_15,"Yesterday, during the day or",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2568,0,0,,,,
ms14_15,"Yesterday, during the day or night, did [child name]  drink  anything from a bot",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2568,0,0,,,,
as14_16,"Yesterday, during the day or night, did [child name] eat any Porridge, bread, ri",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
bs14_16,"Yesterday, during the day or night, did [child name] eat any White potatoes, whi",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
cs14_16,"Yesterday, during the day or night",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
ds14_16,"Yesterday, during the day or night, did [child name] eat any Milk, Cheese, yogur",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
es14_16,"Yesterday, during the day or night, did [child name] eat any  Liver, kidney, hea",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
fs14_16,"Yesterday, during the day or night, did [child name] eat any meat, such as beef,",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,2043,0,0,,,,
