variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
qh802_2,"Communication (mobile phone, me2u, internet…) - If yes, how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qi802_1,"Other, specify__________",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qi802_2,"Other, specify__________ - If yes, how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qa803_1,"Medical expenses, health care",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qa803_2,"Medical expenses, health care - If yes how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qb803_1,"Education, school fees, uniform, etc",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qb803_2,"Education, school fees, uniform, etc - If yes how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qc803_1,"Clothing, shoes",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qc803_2,"Clothing, shoes - If yes how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qd803_1,household furnishings and appliances,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qd803_2,household furnishings and appliances - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qe803_1,"Construction, house repair",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qe803_2,"Construction, house repair - If yes how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qf803_1,Agriculture and related expenses,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qf803_2,Agriculture and related expenses - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qg803_1,Livestock and related expenditures,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qg803_2,Livestock and related expenditures  If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qh803_1,Hiring non-agricultural labour,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qh803_2,Hiring non-agricultural labour - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qi803_1,Debts/mortgage/loan repayment,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qi803_2,Debts/mortgage/loan repayment - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qj803_1,"Fines, taxes",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qj803_2,"Fines, taxes - If yes how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
qk803_1,Ceremonies,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qk803_2,Ceremonies - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
ql803_1,Gifts/donations,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
ql803_2,Gifts/donations - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qm803_1,Leisure,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qm803_2,Leisure - If yes how much:_,int32,,0,0,0,4601,0,0,0,0,,,,
qn803_1,"Other, specify__________",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,4601,0,0,0,0,,,,
qn803_2,"Other, specify__________ - If yes how much:_",int32,,0,0,0,4601,0,0,0,0,,,,
q901,Yesterday adults meals,int32,,0,0,0,4601,0,0,0,0,,,,
q902,Yesterday children meals,int8,,0,0,0,4601,0,0,0,0,,,,
