variable,label,type,value_labels,n_value_labels,n_2009,n_2012,n_2018,n_2021,source,versions,label_variants,value_label_conflicts
s7_01_2,Which commodities do people usually grow in this village?,string,,0,427,748,987,900,,,,
s8_01,Did your village experience any shock in the past 12 months?,int8,"0=No, 1=Yes",2,0,0,987,900,,,,
s8_01_2,"Based on severity, what are the main shocks/problems did households in this vill",string,,0,427,748,987,900,,,"2018: Based on severity, what are the main shocks/proble",
s8_01_3,Specify other shock,int8,,0,0,0,0,0,,,,
s8_02,What are the major community development constraints facing this village?,string,,0,427,748,987,900,,,,
s8_02_2,Specfy other challenges,string,,0,427,748,987,900,,,,
s8_03,Any other discussion comments,int8,"0=No, 1=Yes",2,0,0,0,0,,,,
s2_03_smt_1,Does any of the following safetynets schemes apply to this village? - VUP direct,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: VUP direct support (Does any of the following safe,
s2_03_smt_2,Does any of the following safetynets schemes apply to this village? - VUP public,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: VUP public Works (Does any of the following safety,
s2_03_smt_3,Does any of the following safetynets schemes apply to this village? - VUP access,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: VUP access to financial services (Does any of the ,
s2_03_smt_4_v2,[2018..2018 version] Ubudehe credit scheme/loan (individual or group) (Does a,int8,"0=No, 1=Yes",2,0,0,987,0,,s2_03_smt_4 (2021),,
s2_03_smt_5,Does any of the following safetynets schemes apply to this village? - Girinka (o,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Girinka (one cow per family) (Does any of the foll,
s2_03_smt_6,Does any of the following safetynets schemes apply to this village? - One cup of,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: One cup of milk per child (Does any of the followi,
s4_02_5_smt_1,"If no, which months is it not accessible? - January",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: January (which months of the year isn't the main r,
s4_02_5_smt_2,"If no, which months is it not accessible? - February",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: February (which months of the year isn't the main ,
s4_02_5_smt_3,"If no, which months is it not accessible? - March",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: March (which months of the year isn't the main roa,
s4_02_5_smt_4,"If no, which months is it not accessible? - April",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: April (which months of the year isn't the main roa,
s4_02_5_smt_5,"If no, which months is it not accessible? - May",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: May (which months of the year isn't the main road ,
s4_02_5_smt_6,"If no, which months is it not accessible? - June",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: June (which months of the year isn't the main road,
s4_02_5_smt_7,"If no, which months is it not accessible? - July",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: July (which months of the year isn't the main road,
s4_02_5_smt_8,"If no, which months is it not accessible? - August",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: August (which months of the year isn't the main ro,
s4_02_5_smt_9,"If no, which months is it not accessible? - September",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: September (which months of the year isn't the main,
s4_02_5_smt_10,"If no, which months is it not accessible? - October",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: October (which months of the year isn't the main r,
s4_02_5_smt_11,"If no, which months is it not accessible? - November",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: November (which months of the year isn't the main ,
s4_02_5_smt_12,"If no, which months is it not accessible? - December",int8,"0=No, 1=Yes",2,0,0,987,326,,,2018: December (which months of the year isn't the main ,
s4_02_6_smt_1,What are the main challenges your community faces related to food markets? - Low,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Low production from last season (What are the main,
s4_02_6_smt_2,What are the main challenges your community faces related to food markets? - Not,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Not enough supply (not enough food available on ma,
s4_02_6_smt_3,What are the main challenges your community faces related to food markets? - Not,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Not enough demand (can't sell crops at market) (Wh,
s4_02_6_smt_4_v2,[2018..2018 version] Loss/reduction of employment of  household (What are the,int8,"0=No, 1=Yes",2,0,0,987,0,,s4_02_6_smt_4 (2021),,
s4_02_6_smt_5_v2,[2018..2018 version] Reduction of income of household members (What are the m,int8,"0=No, 1=Yes",2,0,0,987,0,,s4_02_6_smt_5 (2021),,
s4_02_6_smt_6,What are the main challenges your community faces related to food markets? - Hig,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: High market prices for non-food items (What are th,
s4_02_6_smt_7,What are the main challenges your community faces related to food markets? - Unu,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Unusually high food prices (What are the main chal,
s4_02_6_smt_8,What are the main challenges your community faces related to food markets? - Ins,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Insecurity/unrest/Violence (What are the main chal,
s4_02_6_smt_9,What are the main challenges your community faces related to food markets? - Mar,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Market too far (What are the main challenges your ,
s4_02_6_smt_10,What are the main challenges your community faces related to food markets? - Bad,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Bad road to market (What are the main challenges y,
s5_01_smt_1,Three Most consumed cereals - Wheat,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Wheat (village most consumed cereals),
s5_01_smt_2,Three Most consumed cereals - Maize,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Maize (village most consumed cereals),
s5_01_smt_3,Three Most consumed cereals - Sorghum,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Sorghum (village most consumed cereals),
s5_01_smt_4,Three Most consumed cereals - Rice,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Rice (village most consumed cereals),
s5_01_smt_88,Three Most consumed cereals - Other,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Other (village most consumed cereals),
s5_02_smt_1,Three Most consumed tuber and roots - Sweet Potato,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Sweet Potato (village most consumed roots and tube,
s5_02_smt_2,Three Most consumed tuber and roots - Irish potato,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Irish potato (village most consumed roots and tube,
s5_02_smt_3,Three Most consumed tuber and roots - Cassava,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Cassava (village most consumed roots and tubers),
s5_02_smt_4,Three Most consumed tuber and roots - Taro,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Taro (village most consumed roots and tubers),
s5_02_smt_5,Three Most consumed tuber and roots - Yam,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Yam  (village most consumed roots and tubers),
s5_02_smt_6,Three Most consumed tuber and roots - Banana cooking,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Banana cooking (village most consumed roots and tu,
s5_02_smt_88,Three Most consumed tuber and roots - Other roots or other cereals,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Other roots or other cereals (village most consume,
s5_03_smt_1,Three most consumed pulses and legumes - Beans,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Beans (village most consumed legumes),
s5_03_smt_2,Three most consumed pulses and legumes - Peas,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Peas (village most consumed legumes),
s5_03_smt_3,Three most consumed pulses and legumes - Soya,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Soya (village most consumed legumes),
s5_03_smt_4,Three most consumed pulses and legumes - Ground nuts,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Ground nuts (village most consumed legumes),
s5_03_smt_5,"Three most consumed pulses and legumes - Other pulses, specify:_____",int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Other pulses (village most consumed legumes),
s5_04_smt_1,Three most consumed pulses and legumes - Tomato,int8,"0=No, 1=Yes",2,0,0,987,900,,,2018: Tomato (village most consumed vegetables),
