# LFS checks report

Generated by 03_checks.py.

## A. Python pooled file vs old Stata outputs (3 Jul 2026)

| section | statistic | Python | reference | result |
| D | 2020 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2021 sum hhsize == person rows with hh key | 71,947 | 71,947 | PASS |
| D | 2021 household-interviews | 17,085 | 17,085 | PASS |
| D | 2021 household-interviews with exactly one head (0 heads: 0, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2021 household-interviews with head_sex missing | 0 | 0 | PASS |
| D | 2021 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2022 sum hhsize == person rows with hh key | 70,424 | 70,424 | PASS |
| D | 2022 household-interviews | 16,572 | 16,572 | PASS |
| D | 2022 household-interviews with exactly one head (0 heads: 0, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2022 household-interviews with head_sex missing | 0 | 0 | PASS |
| D | 2022 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2023 sum hhsize == person rows with hh key | 71,849 | 71,849 | PASS |
| D | 2023 household-interviews | 17,756 | 17,756 | PASS |
| D | 2023 household-interviews with exactly one head (0 heads: 0, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2023 household-interviews with head_sex missing | 0 | 0 | PASS |
| D | 2023 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2024 sum hhsize == person rows with hh key | 102,562 | 102,562 | PASS |
| D | 2024 household-interviews | 25,867 | 25,867 | PASS |
| D | 2024 household-interviews with exactly one head (0 heads: 0, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2024 household-interviews with head_sex missing | 0 | 0 | PASS |
| D | 2024 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |
| D | 2025 sum hhsize == person rows with hh key | 100,852 | 100,852 | PASS |
| D | 2025 household-interviews | 25,382 | 25,382 | PASS |
| D | 2025 household-interviews with exactly one head (0 heads: 0, 2+: 0; threshold 99.9%) | 100 | 100 | PASS |
| D | 2025 household-interviews with head_sex missing | 0 | 0 | PASS |
| D | 2025 wt constant within household-interview (% of household-interviews) | 100 | 100 | PASS |

## E. Cross-year coding compatibility within pooled columns

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| E | pooled columns holding years with incompatible value-label texts for the same code, must be 0 | 0 | 0 | PASS |
| E | FORCE_ALIGN columns whose value-label wording differs across years (owner's judgement that the question is the same; informational) | 0 | None | n/a |
| E | variables split into versions because of value labels or unlabelled ranges (informational) | 26 | None | n/a |
| E | variables with codes observed outside their own year's value labels -- stale labels (informational; listed in merge_alignment.json) | 34 | None | n/a |
| E | forced splits (FORCE_SPLIT entries) | 7 | None | n/a |

**All checks passed.**
