21:37:19 02_checks INFO ==== 02_checks | run 20260905-213719_02_checks | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
21:38:43 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
| A | H_CFSVA_child.dta rows | 35,763 | 35,763 | PASS |
| A | H_CFSVA_child.dta native columns present | 1,388 | 1,388 | PASS |
| A | H_CFSVA_household.dta rows | 50,890 | 50,890 | PASS |
| A | H_CFSVA_household.dta native columns present | 4,825 | 4,825 | PASS |
| A | H_CFSVA_village.dta rows | 3,812 | 3,812 | PASS |
| A | H_CFSVA_village.dta native columns present | 508 | 508 | PASS |
| A | H_CFSVA_woman.dta rows | 31,030 | 31,030 | PASS |
| A | H_CFSVA_woman.dta native columns present | 813 | 813 | PASS |
| A | files tested against their source (must be > 0) | 77 | 77 | PASS |

## B. Keys

| section | statistic | harmonised | reference | result |
|---|---|---:|---:|---|
| B | H_LFS_household.dta: rows with a household key (informational) | 166,772 |  | n/a |
| B | H_LFS_household.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_LFS_household.dta: h_hhkey unique (household file) | 166,772 | 166,772 | PASS |
| B | H_Census_household.dta: rows with a household key (informational) | 750,115 |  | n/a |
| B | H_Census_household.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_Census_household.dta: h_hhkey unique (household file) | 750,115 | 750,115 | PASS |
| B | H_EICV_household.dta: rows with a household key (informational) | 71,681 |  | n/a |
| B | H_EICV_household.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_EICV_household.dta: h_hhkey unique (household file) | 71,681 | 71,681 | PASS |
| B | H_EICV_household_vup.dta: rows with a household key (informational) | 7,875 |  | n/a |
| B | H_EICV_household_vup.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
| B | H_EICV_household_vup.dta: h_hhkey unique (household file) | 7,875 | 7,875 | PASS |
| B | H_AHS_household.dta: rows with a household key (informational) | 30,447 |  | n/a |
| B | H_AHS_household.dta: keys built from a zero / negative id (must be 0) | 0 | 0 | PASS |
